outer_iter,iter,time,ux,uy,uz
0,1,0,-4.39032e-06,-1.00393e-05,-9.26338e-07
0,1,8.31803,-4.68404e-06,-8.69024e-06,-9.5141e-07
0,1,16.6361,-4.95408e-06,-7.36704e-06,-9.7539e-07
0,1,24.9541,-5.20098e-06,-6.06993e-06,-9.98282e-07
0,1,33.2721,-5.42529e-06,-4.79911e-06,-1.02009e-06
0,1,41.5902,-5.62756e-06,-3.55472e-06,-1.04082e-06
0,1,49.9082,-5.80833e-06,-2.33689e-06,-1.06048e-06
0,1,58.2262,-5.96813e-06,-1.14568e-06,-1.07909e-06
0,1,66.5443,-6.10751e-06,1.88379e-08,-1.09664e-06
0,1,74.8623,-6.22698e-06,1.15661e-06,-1.11315e-06
0,1,83.1803,-6.32706e-06,2.26757e-06,-1.12863e-06
0,1,91.4984,-6.40827e-06,3.35166e-06,-1.14309e-06
0,1,99.8164,-6.47111e-06,4.4088e-06,-1.15653e-06
0,1,108.134,-6.51609e-06,5.43887e-06,-1.16897e-06
0,1,116.452,-6.54371e-06,6.44172e-06,-1.1804e-06
0,1,124.771,-6.55446e-06,7.41717e-06,-1.19083e-06
0,1,133.089,-6.54883e-06,8.36496e-06,-1.20026e-06
0,1,141.407,-6.5273e-06,9.2848e-06,-1.20869e-06
0,1,149.725,-6.49036e-06,1.01763e-05,-1.21612e-06
0,1,158.043,-6.43849e-06,1.1039e-05,-1.22253e-06
0,1,166.361,-6.37219e-06,1.18724e-05,-1.22793e-06
0,1,174.679,-6.29192e-06,1.26759e-05,-1.2323e-06
0,1,182.997,-6.19819e-06,1.34487e-05,-1.23562e-06
0,1,191.315,-6.09149e-06,1.41901e-05,-1.23787e-06
0,1,199.633,-5.97232e-06,1.48991e-05,-1.23902e-06
0,1,207.951,-5.84119e-06,1.55746e-05,-1.23906e-06
0,1,216.269,-5.69862e-06,1.62154e-05,-1.23795e-06
0,1,224.587,-5.54514e-06,1.68204e-05,-1.23564e-06
0,1,232.905,-5.38131e-06,1.7388e-05,-1.23211e-06
0,1,241.223,-5.20768e-06,1.79167e-05,-1.2273e-06
0,1,249.541,-5.02486e-06,1.84048e-05,-1.22116e-06
0,1,257.859,-4.83343e-06,1.88503e-05,-1.21364e-06
0,1,266.177,-4.63405e-06,1.92514e-05,-1.20468e-06
0,1,274.495,-4.42736e-06,1.96058e-05,-1.19421e-06
0,1,282.813,-4.21406e-06,1.99112e-05,-1.18216e-06
0,1,291.131,-3.99487e-06,2.01651e-05,-1.16845e-06
0,1,299.449,-3.77057e-06,2.03649e-05,-1.153e-06
0,1,307.767,-3.54195e-06,2.05077e-05,-1.13573e-06
0,1,316.085,-3.30986e-06,2.05904e-05,-1.11653e-06
0,1,324.403,-3.07521e-06,2.061e-05,-1.09532e-06
0,1,332.721,-2.83894e-06,2.0563e-05,-1.07199e-06
0,1,341.039,-2.60208e-06,2.04459e-05,-1.04643e-06
0,1,349.357,-2.36571e-06,2.02549e-05,-1.01853e-06
0,1,357.675,-2.13099e-06,1.9986e-05,-9.88156e-07
0,1,365.993,-1.89917e-06,1.96352e-05,-9.55189e-07
0,1,374.312,-1.67159e-06,1.91981e-05,-9.19493e-07
0,1,382.63,-1.4497e-06,1.86701e-05,-8.8093e-07
0,1,390.948,-1.23508e-06,1.80464e-05,-8.39353e-07
0,1,399.266,-1.02941e-06,1.73221e-05,-7.94611e-07
0,1,407.584,-8.34534e-07,1.6492e-05,-7.46546e-07
0,1,415.902,-6.52429e-07,1.55508e-05,-6.94998e-07
0,1,424.22,-4.85202e-07,1.4493e-05,-6.39801e-07
0,1,432.538,-3.35082e-07,1.33129e-05,-5.80789e-07
0,1,440.856,-2.04405e-07,1.20048e-05,-5.17792e-07
0,1,449.174,-9.55859e-08,1.05629e-05,-4.50644e-07
0,1,457.492,-1.11023e-08,8.9814e-06,-3.79177e-07
0,1,465.81,4.65208e-08,7.2544e-06,-3.03229e-07
0,1,474.128,7.4716e-08,5.37602e-06,-2.22636e-07
0,1,482.446,7.08681e-08,3.34039e-06,-1.37239e-07
0,1,490.764,3.2301e-08,1.14157e-06,-4.68812e-08
0,1,499.082,-3.20876e-08,-7.6048e-07,-1.09078e-08
0,1,507.4,-9.55504e-08,-1.93547e-06,-7.73272e-08
0,1,515.718,-1.4821e-07,-2.55296e-06,-2.20521e-07
0,1,524.036,-1.84907e-07,-2.76171e-06,-4.18603e-07
0,1,532.354,-2.04209e-07,-2.6892e-06,-6.53095e-07
0,1,540.672,-2.07285e-07,-2.43947e-06,-9.08703e-07
0,1,548.99,-1.96885e-07,-2.09348e-06,-1.17306e-06
0,1,557.308,-1.76519e-07,-1.71105e-06,-1.43643e-06
0,1,565.626,-1.49823e-07,-1.33382e-06,-1.69139e-06
0,1,573.944,-1.20137e-07,-9.88423e-07,-1.93257e-06
0,1,582.262,-9.02511e-08,-6.89738e-07,-2.1563e-06
0,1,590.58,-6.22851e-08,-4.43908e-07,-2.36039e-06
0,1,598.898,-3.7682e-08,-2.50916e-07,-2.54382e-06
0,1,607.216,-1.72649e-08,-1.06753e-07,-2.70653e-06
0,1,615.534,-1.33683e-09,-5.11266e-09,-2.84919e-06
0,1,623.853,1.02005e-08,6.13248e-08,-2.97302e-06
0,1,632.171,1.77285e-08,9.99889e-08,-3.07961e-06
0,1,640.489,2.1803e-08,1.1782e-07,-3.1708e-06
0,1,648.807,2.30639e-08,1.20915e-07,-3.24849e-06
0,1,657.125,2.2165e-08,1.14363e-07,-3.3146e-06
0,1,665.443,1.97245e-08,1.02207e-07,-3.37092e-06
0,1,673.761,1.62953e-08,8.74956e-08,-3.41906e-06
0,1,682.079,1.23511e-08,7.23847e-08,-3.46036e-06
0,1,690.397,8.28497e-09,5.82645e-08,-3.49585e-06
0,1,698.715,4.41836e-09,4.58903e-08,-3.52617e-06
0,1,707.033,1.01472e-09,3.55054e-08,-3.55151e-06
0,1,715.351,-1.70377e-09,2.69495e-08,-3.57162e-06
0,1,723.669,-3.53997e-09,1.97501e-08,-3.58573e-06
0,1,731.987,-4.30847e-09,1.31978e-08,-3.59252e-06
0,1,740.305,-3.82745e-09,6.41037e-09,-3.59012e-06
0,1,748.623,-1.91758e-09,-1.60913e-09,-3.57608e-06
0,1,756.941,1.5902e-09,-1.1911e-08,-3.54735e-06
0,1,765.259,6.83702e-09,-2.55265e-08,-3.50032e-06
0,1,773.577,1.39073e-08,-4.33748e-08,-3.43082e-06
0,1,781.895,2.2789e-08,-6.61393e-08,-3.33419e-06
0,1,790.213,3.33229e-08,-9.41059e-08,-3.2053e-06
0,1,798.531,4.51433e-08,-1.26957e-07,-3.03873e-06
0,1,806.849,5.76122e-08,-1.63519e-07,-2.82885e-06
0,1,815.167,6.97535e-08,-2.01466e-07,-2.57003e-06
0,1,823.485,8.01925e-08,-2.36989e-07,-2.25685e-06
0,1,831.803,8.71112e-08,-2.64458e-07,-1.88444e-06
0,1,840.121,8.82311e-08,-2.76102e-07,-1.44876e-06
0,1,848.439,8.0838e-08,-2.61768e-07,-9.47109e-07
0,1,856.757,6.18637e-08,-2.08822e-07,-3.78533e-07
0,1,865.075,2.80427e-08,-1.02287e-07,2.55538e-07
0,1,873.394,-2.38408e-08,7.46744e-08,9.50659e-07
0,1,881.712,-9.6602e-08,3.39785e-07,1.69863e-06
0,1,890.03,-1.92195e-07,7.10057e-07,2.48666e-06
0,1,898.348,-3.11139e-07,1.19941e-06,3.29655e-06
0,1,906.666,-4.51859e-07,1.81534e-06,4.10372e-06
0,1,914.984,-6.09947e-07,2.55454e-06,4.87633e-06
0,1,923.302,-7.77426e-07,3.39737e-06,5.5745e-06
0,1,931.62,-9.42063e-07,4.30122e-06,6.14951e-06
0,1,939.938,-1.08687e-06,5.19288e-06,6.54321e-06
0,1,948.256,-1.18993e-06,5.96065e-06,6.68747e-06
0,1,956.574,-1.22481e-06,6.44703e-06,6.50375e-06
0,1,964.892,-1.16155e-06,6.44279e-06,5.90292e-06
0,1,973.21,-9.6835e-07,5.68324e-06,4.78545e-06
0,1,981.528,-6.14158e-07,3.84838e-06,3.04211e-06
0,1,989.846,-1.96875e-07,1.31628e-06,1.00294e-06
0,1,998.164,1.67071e-07,-1.19787e-06,-9.25648e-07
0,1,1006.48,4.87307e-07,-3.57935e-06,-2.74833e-06
0,1,1014.8,7.66318e-07,-5.83478e-06,-4.46978e-06
0,1,1023.12,1.00642e-06,-7.96738e-06,-6.09294e-06
0,1,1031.44,1.20988e-06,-9.98043e-06,-7.62073e-06
0,1,1039.75,1.37885e-06,-1.18772e-05,-9.05608e-06
0,1,1048.07,1.51546e-06,-1.3661e-05,-1.04019e-05
0,1,1056.39,1.62174e-06,-1.53352e-05,-1.16611e-05
0,1,1064.71,1.69966e-06,-1.69029e-05,-1.28366e-05
0,1,1073.03,1.75112e-06,-1.83674e-05,-1.39311e-05
0,1,1081.34,1.77797e-06,-1.97318e-05,-1.49474e-05
0,1,1089.66,1.78197e-06,-2.09994e-05,-1.58882e-05
0,1,1097.98,1.76483e-06,-2.21732e-05,-1.67562e-05
0,1,1106.3,1.72821e-06,-2.32561e-05,-1.75539e-05
0,1,1114.62,1.67369e-06,-2.42511e-05,-1.82839e-05
0,1,1122.93,1.60279e-06,-2.5161e-05,-1.89484e-05
0,1,1131.25,1.51701e-06,-2.59885e-05,-1.95499e-05
0,1,1139.57,1.41776e-06,-2.67362e-05,-2.00906e-05
0,1,1147.89,1.30641e-06,-2.74067e-05,-2.05725e-05
0,1,1156.21,1.18429e-06,-2.80022e-05,-2.09977e-05
0,1,1164.52,1.05269e-06,-2.85251e-05,-2.13681e-05
0,1,1172.84,9.12835e-07,-2.89775e-05,-2.16854e-05
0,1,1181.16,7.65926e-07,-2.93614e-05,-2.19515e-05
0,1,1189.48,6.13126e-07,-2.96786e-05,-2.21677e-05
0,1,1197.8,4.55559e-07,-2.9931e-05,-2.23356e-05
0,1,1206.11,2.94321e-07,-3.012e-05,-2.24565e-05
0,1,1214.43,1.30477e-07,-3.02472e-05,-2.25316e-05
0,1,1222.75,-3.49301e-08,-3.03139e-05,-2.2562e-05
0,1,1231.07,-2.00884e-07,-3.03212e-05,-2.25487e-05
0,1,1239.39,-3.66386e-07,-3.027e-05,-2.24925e-05
0,1,1247.71,-5.30455e-07,-3.01614e-05,-2.23942e-05
0,1,1256.02,-6.92122e-07,-2.9996e-05,-2.22544e-05
0,1,1264.34,-8.50433e-07,-2.97743e-05,-2.20735e-05
