outer_iter,iter,time,ux,uy,uz
0,1,0,-1.32326e-06,-5.3025e-05,5.80188e-05
0,1,4.99999,-1.98151e-06,-4.60864e-05,5.59433e-05
0,1,9.99998,-2.55696e-06,-3.96477e-05,5.3938e-05
0,1,15,-3.05626e-06,-3.36955e-05,5.20005e-05
0,1,20,-3.48582e-06,-2.82135e-05,5.01285e-05
0,1,25,-3.85187e-06,-2.31831e-05,4.83198e-05
0,1,29.9999,-4.16033e-06,-1.85839e-05,4.6572e-05
0,1,34.9999,-4.41689e-06,-1.43941e-05,4.48827e-05
0,1,39.9999,-4.62692e-06,-1.05905e-05,4.32496e-05
0,1,44.9999,-4.79548e-06,-7.1492e-06,4.16703e-05
0,1,49.9999,-4.92734e-06,-4.04574e-06,4.01425e-05
0,1,54.9999,-5.02694e-06,-1.25531e-06,3.86639e-05
0,1,59.9999,-5.09839e-06,1.24696e-06,3.72322e-05
0,1,64.9999,-5.14549e-06,3.48585e-06,3.58452e-05
0,1,69.9999,-5.17172e-06,5.48582e-06,3.45008e-05
0,1,74.9999,-5.18026e-06,7.27089e-06,3.31968e-05
0,1,79.9999,-5.17394e-06,8.86449e-06,3.19311e-05
0,1,84.9998,-5.15534e-06,1.02893e-05,3.07017e-05
0,1,89.9998,-5.12672e-06,1.15672e-05,2.95066e-05
0,1,94.9998,-5.09007e-06,1.27192e-05,2.8344e-05
0,1,99.9998,-5.0471e-06,1.37652e-05,2.72119e-05
0,1,105,-4.99926e-06,1.47239e-05,2.61087e-05
0,1,110,-4.94776e-06,1.56131e-05,2.50327e-05
0,1,115,-4.89356e-06,1.64491e-05,2.39821e-05
0,1,120,-4.83741e-06,1.72472e-05,2.29555e-05
0,1,125,-4.77985e-06,1.8021e-05,2.19514e-05
0,1,130,-4.72121e-06,1.87829e-05,2.09683e-05
0,1,135,-4.66165e-06,1.95439e-05,2.00049e-05
0,1,140,-4.60115e-06,2.03132e-05,1.90599e-05
0,1,145,-4.53953e-06,2.10986e-05,1.81321e-05
0,1,150,-4.4765e-06,2.19064e-05,1.72204e-05
0,1,155,-4.41161e-06,2.27408e-05,1.63238e-05
0,1,160,-4.34431e-06,2.36046e-05,1.54412e-05
0,1,165,-4.27397e-06,2.44987e-05,1.45719e-05
0,1,170,-4.19986e-06,2.54219e-05,1.3715e-05
0,1,175,-4.1212e-06,2.63711e-05,1.28697e-05
0,1,180,-4.03716e-06,2.73413e-05,1.20355e-05
0,1,185,-3.9469e-06,2.83251e-05,1.12119e-05
0,1,190,-3.84956e-06,2.93131e-05,1.03982e-05
0,1,195,-3.74429e-06,3.02933e-05,9.59426e-06
0,1,200,-3.63029e-06,3.12516e-05,8.79971e-06
0,1,205,-3.50681e-06,3.21711e-05,8.01438e-06
0,1,210,-3.37318e-06,3.30326e-05,7.2382e-06
0,1,215,-3.22883e-06,3.38138e-05,6.4712e-06
0,1,220,-3.07334e-06,3.44899e-05,5.71348e-06
0,1,225,-2.90645e-06,3.50334e-05,4.96529e-06
0,1,230,-2.72806e-06,3.54133e-05,4.22695e-06
0,1,235,-2.53833e-06,3.55962e-05,3.49892e-06
0,1,240,-2.33765e-06,3.55453e-05,2.78172e-06
0,1,245,-2.12671e-06,3.52207e-05,2.07603e-06
0,1,250,-1.90653e-06,3.45796e-05,1.3826e-06
0,1,255,-1.67848e-06,3.35759e-05,7.02283e-07
0,1,260,-1.44434e-06,3.21606e-05,3.60255e-08
0,1,265,-1.20634e-06,3.02815e-05,-6.15157e-07
0,1,270,-9.67158e-07,2.78835e-05,-1.2502e-06
0,1,275,-7.30015e-07,2.49081e-05,-1.86799e-06
0,1,280,-4.98674e-07,2.12935e-05,-2.4674e-06
0,1,284.999,-2.77508e-07,1.69741e-05,-3.04718e-06
0,1,289.999,-7.15728e-08,1.1881e-05,-3.60589e-06
0,1,294.999,1.10971e-07,5.95301e-06,-4.14189e-06
0,1,299.999,-0.00040397,0.000337002,-0.00133759
0,1,304.999,-0.000193401,-0.00107558,6.50583e-05
0,1,309.999,-4.45108e-05,-0.00149745,0.000932983
0,1,314.999,1.43081e-05,-0.0013795,0.00139121
0,1,319.999,2.42995e-05,-0.00103875,0.00155378
0,1,324.999,1.71676e-05,-0.000666565,0.00151784
0,1,329.999,8.05512e-06,-0.000357277,0.00136143
0,1,334.999,1.8849e-06,-0.00014112,0.00114379
0,1,339.999,-1.00032e-06,-1.26177e-05,0.000907222
0,1,344.999,-1.6933e-06,4.8959e-05,0.000679751
0,1,349.999,-1.34473e-06,6.70321e-05,0.000478029
0,1,354.999,-7.29135e-07,6.13904e-05,0.000310155
0,1,359.999,-2.28164e-07,4.6042e-05,0.000178187
0,1,364.999,4.84319e-08,2.94307e-05,8.02367e-05
0,1,369.999,1.3212e-07,1.56926e-05,1.21263e-05
0,1,374.999,1.0116e-07,6.12764e-06,-3.13805e-05
0,1,379.999,2.83534e-08,4.64717e-07,-5.57158e-05
0,1,384.999,-3.8929e-08,-2.2315e-06,-6.59541e-05
0,1,389.999,-7.95917e-08,-3.00654e-06,-6.6498e-05
0,1,394.999,-9.13091e-08,-2.73916e-06,-6.09425e-05
0,1,399.999,-8.15643e-08,-2.04893e-06,-5.20616e-05
0,1,404.999,-6.05975e-08,-1.30782e-06,-4.18725e-05
0,1,409.999,-3.72174e-08,-6.96937e-07,-3.17433e-05
0,1,414.999,-1.71148e-08,-2.72297e-07,-2.25178e-05
0,1,419.999,-2.83452e-09,-2.09644e-08,-1.46406e-05
0,1,424.999,5.43378e-09,9.88255e-08,-8.27204e-06
0,1,429.999,8.85988e-09,1.33254e-07,-3.38611e-06
0,1,434.999,9.12126e-09,1.20792e-07,1.49618e-07
0,1,439.999,7.82622e-09,8.82657e-08,2.51268e-06
0,1,444.999,6.20513e-09,5.15572e-08,3.88121e-06
0,1,449.999,4.99679e-09,1.84092e-08,4.404e-06
0,1,454.999,4.44392e-09,-8.2303e-09,4.18321e-06
0,1,459.999,4.33084e-09,-2.71231e-08,3.26762e-06
0,1,464.999,4.02999e-09,-3.62559e-08,1.65531e-06
0,1,469.999,2.56202e-09,-3.11263e-08,-6.94788e-07
0,1,474.999,-1.29158e-09,-4.02599e-09,-3.84272e-06
0,1,479.999,-8.75935e-09,5.52377e-08,-7.83797e-06
0,1,484.999,-2.06628e-08,1.56469e-07,-1.26801e-05
0,1,489.999,-3.67614e-08,3.03161e-07,-1.82689e-05
0,1,494.999,-5.4872e-08,4.82729e-07,-2.4344e-05
0,1,499.999,-6.98906e-08,6.52786e-07,-3.04162e-05
0,1,504.999,-7.30173e-08,7.24971e-07,-3.56921e-05
0,1,509.999,-5.16935e-08,5.50687e-07,-3.90006e-05
0,1,514.999,9.04771e-09,-8.25683e-08,-3.87296e-05
0,1,519.999,1.23038e-07,-1.43016e-06,-3.27879e-05
0,1,524.999,2.96648e-07,-3.72492e-06,-1.86135e-05
0,1,529.999,5.19728e-07,-7.04483e-06,6.74686e-06
0,1,534.999,7.55081e-07,-1.10946e-05,4.64542e-05
0,1,539.999,9.29602e-07,-1.48986e-05,0.000103554
0,1,544.999,9.32398e-07,-1.64402e-05,0.000180475
0,1,549.999,6.27029e-07,-1.23467e-05,0.000278311
0,1,554.999,-1.14914e-07,2.18268e-06,0.00039586
0,1,559.999,-1.35531e-06,3.28859e-05,0.000528412
0,1,564.999,-3.01214e-06,8.49454e-05,0.000666304
0,1,569.999,-4.78648e-06,0.00015999,0.00079329
0,1,574.999,-6.14101e-06,0.000251188,0.000884847
0,1,579.999,-6.40069e-06,0.000336363,0.000906591
0,1,584.999,-5.05786e-06,0.000369756,0.000813151
0,1,589.999,-2.35087e-06,0.000274923,0.00054802
0,1,594.999,-3.52266e-07,9.19159e-05,0.000182353
0,1,599.999,-4.74266e-06,1.12683e-05,-4.1874e-05
0,1,604.999,-4.5997e-06,1.22544e-05,-3.86674e-05
0,1,609.999,-4.45111e-06,1.30995e-05,-3.56605e-05
0,1,614.999,-4.29808e-06,1.38092e-05,-3.28466e-05
0,1,619.999,-4.14175e-06,1.43892e-05,-3.02187e-05
0,1,624.999,-3.98317e-06,1.48458e-05,-2.77696e-05
0,1,629.999,-3.82331e-06,1.51855e-05,-2.54919e-05
0,1,634.999,-3.66306e-06,1.54149e-05,-2.33781e-05
0,1,639.999,-3.50326e-06,1.55409e-05,-2.14207e-05
0,1,644.999,-3.34464e-06,1.557e-05,-1.96124e-05
0,1,649.999,-3.18789e-06,1.55091e-05,-1.79458e-05
0,1,654.999,-3.0336e-06,1.53648e-05,-1.64137e-05
0,1,659.999,-2.8823e-06,1.51434e-05,-1.50089e-05
0,1,664.999,-2.73448e-06,1.48513e-05,-1.37246e-05
0,1,669.999,-2.59053e-06,1.44947e-05,-1.25541e-05
0,1,674.999,-2.45082e-06,1.40792e-05,-1.14909e-05
0,1,679.999,-2.31564e-06,1.36107e-05,-1.05287e-05
0,1,684.999,-2.18525e-06,1.30944e-05,-9.66171e-06
0,1,689.999,-2.05983e-06,1.25354e-05,-8.88401e-06
0,1,694.999,-1.93956e-06,1.19386e-05,-8.19014e-06
0,1,699.999,-1.82456e-06,1.13085e-05,-7.57484e-06
0,1,704.999,-1.71491e-06,1.06494e-05,-7.0331e-06
0,1,709.999,-1.61066e-06,9.96534e-06,-6.56015e-06
0,1,714.999,-1.51184e-06,9.26018e-06,-6.15142e-06
0,1,719.999,-1.41845e-06,8.53747e-06,-5.80257e-06
0,1,724.999,-1.33045e-06,7.80059e-06,-5.50946e-06
0,1,729.999,-1.2478e-06,7.05271e-06,-5.26811e-06
0,1,734.999,-1.17043e-06,6.29686e-06,-5.07473e-06
0,1,739.999,-1.09824e-06,5.5359e-06,-4.92566e-06
0,1,744.999,-1.03115e-06,4.7726e-06,-4.81738e-06
0,1,749.999,-9.6903e-07,4.0096e-06,-4.74646e-06
0,1,754.999,-9.11744e-07,3.24952e-06,-4.70956e-06
0,1,759.999,-8.59147e-07,2.49492e-06,-4.70339e-06
0,1,764.999,-8.11076e-07,1.74835e-06,-4.72471e-06
0,1,769.999,-7.67356e-07,1.0124e-06,-4.77029e-06
0,1,774.999,-7.27793e-07,2.89708e-07,-4.83687e-06
0,1,779.999,-6.92179e-07,-4.17002e-07,-4.9212e-06
0,1,784.999,-6.60288e-07,-1.10488e-06,-5.01992e-06
