outer_iter,iter,N1,N2,N3,N4,DT1,DT2,DT3,DT4,cost,R_abs_sum,RT_abs_sum
1,21,60,60,60,60,76.6987,55.3453,103.566,51.6889,0,5.88708,0.327799
1,22,60,60,60,60,76.6987,55.3453,103.566,51.6889,0,5.88708,0.327799
1,23,60,60,60,60,76.6987,55.3453,103.566,51.6889,0,5.88708,0.327799
1,24,60,60,60,60,76.6987,55.3453,103.566,51.6889,0,5.88708,0.327799
1,25,60,60,60,60,76.6987,55.3453,103.566,51.6889,0,5.88708,0.327799
1,26,60,60,60,60,76.6987,55.3453,103.566,51.6889,0,5.88708,0.327799
1,27,60,60,60,60,76.6987,55.3453,103.566,51.6889,0,5.88708,0.327799
1,28,60,60,60,60,76.6987,55.3453,103.566,51.6889,0,5.88708,0.327799
1,29,60,60,60,60,76.6987,55.3453,103.566,51.6889,0,5.88708,0.327799
1,30,60,60,60,60,76.6987,55.3453,103.566,51.6889,0,5.88708,0.327799
1,31,60,60,60,60,76.6987,55.3453,103.566,51.6889,0,5.88708,0.327799
1,32,60,60,60,60,76.6987,55.3453,103.566,51.6889,0,5.88708,0.327799
1,33,60,60,60,60,76.6987,55.3453,103.566,51.6889,0,5.88708,0.327799
1,34,60,60,60,60,76.6987,55.3453,103.566,51.6889,0,5.88708,0.327799
1,35,60,60,60,60,76.6987,55.3453,103.566,51.6889,0,5.88708,0.327799
1,36,60,60,60,60,76.6987,55.3453,103.566,51.6889,0,5.88708,0.327799
1,37,60,60,60,60,76.6987,55.3453,103.566,51.6889,0,5.88708,0.327799
1,38,60,60,60,60,76.6986,55.3453,103.566,51.6889,0,5.88708,0.327799
1,39,60,60,60,60,76.6986,55.3453,103.566,51.6889,0,5.88708,0.327799
1,40,60,60,60,60,76.6986,55.3453,103.566,51.6889,0,5.88708,0.327799
1,41,60,60,60,60,76.6986,55.3453,103.566,51.6889,0,5.88708,0.327799
1,42,60,60,60,60,76.6986,55.3453,103.566,51.6889,0,5.88708,0.327799
1,43,60,60,60,60,76.6986,55.3453,103.566,51.6889,0,5.88708,0.327799
1,44,60,60,60,60,76.6986,55.3453,103.566,51.689,0,5.88708,0.327799
1,45,60,60,60,60,76.6986,55.3453,103.566,51.689,0,5.88708,0.327799
1,46,60,60,60,60,76.6986,55.3453,103.566,51.689,0,5.88708,0.327799
1,47,60,60,60,60,76.6986,55.3453,103.566,51.689,0,5.88708,0.327799
1,48,60,60,60,60,76.6986,55.3453,103.566,51.689,0,5.88708,0.327799
1,49,60,60,60,60,76.6986,55.3453,103.566,51.689,0,5.88708,0.327799
1,50,60,60,60,60,76.6986,55.3453,103.566,51.689,0,5.88708,0.327799
1,51,60,60,60,60,76.6986,55.3453,103.566,51.689,0,5.88708,0.327799
1,52,60,60,60,60,76.6986,55.3453,103.566,51.689,0,5.88708,0.327799
1,53,60,60,60,60,76.6986,55.3453,103.566,51.689,0,5.88708,0.327799
1,54,60,60,60,60,76.6986,55.3453,103.566,51.689,0,5.88708,0.327799
1,55,60,60,60,60,76.6986,55.3453,103.566,51.689,0,5.88708,0.327799
1,56,60,60,60,60,76.6986,55.3454,103.566,51.689,0,5.88708,0.327799
1,57,60,60,60,60,76.6986,55.3454,103.566,51.689,0,5.88708,0.327799
1,58,60,60,60,60,76.6986,55.3454,103.566,51.689,0,5.88708,0.327799
1,59,60,60,60,60,76.6986,55.3454,103.566,51.689,0,5.88708,0.327799
1,60,60,60,60,60,76.6986,55.3454,103.566,51.689,0,5.88708,0.327799
1,61,60,60,60,60,76.6986,55.3454,103.566,51.689,0,5.88708,0.327799
1,62,60,60,60,60,76.6986,55.3454,103.566,51.689,0,5.88708,0.327799
1,63,60,60,60,60,76.6986,55.3454,103.566,51.689,0,5.88708,0.327799
1,64,60,60,60,60,76.6986,55.3454,103.566,51.689,0,5.88708,0.327799
1,65,60,60,60,60,76.6986,55.3454,103.566,51.689,0,5.88708,0.327799
1,66,60,60,60,60,76.6986,55.3454,103.566,51.6891,0,5.88708,0.327799
1,67,60,60,60,60,76.6986,55.3454,103.566,51.6891,0,5.88708,0.327799
1,68,60,60,60,60,76.6986,55.3454,103.566,51.6891,0,5.88708,0.327799
1,69,60,60,60,60,76.6986,55.3454,103.566,51.6891,0,5.88708,0.327799
1,70,60,60,60,60,76.6986,55.3454,103.566,51.6891,0,5.88708,0.327799
1,71,60,60,60,60,76.6986,55.3454,103.566,51.6891,0,5.88708,0.327799
1,72,60,60,60,60,76.6986,55.3454,103.566,51.6891,0,5.88708,0.327799
1,73,60,60,60,60,76.6986,55.3454,103.566,51.6891,0,5.88708,0.327799
1,74,60,60,60,60,76.6986,55.3454,103.566,51.6891,0,5.88708,0.327799
1,75,60,60,60,60,76.6986,55.3454,103.566,51.6891,0,5.88708,0.327799
1,76,60,60,60,60,76.6986,55.3454,103.566,51.6891,0,5.88708,0.327799
1,77,60,60,60,60,76.6986,55.3454,103.566,51.6891,0,5.88708,0.327799
1,78,60,60,60,60,76.6986,55.3454,103.566,51.6891,0,5.88708,0.327799
1,79,60,60,60,60,76.6986,55.3454,103.566,51.6891,0,5.88708,0.327799
1,80,60,60,60,60,76.6986,55.3454,103.566,51.6892,0,5.88708,0.327799
1,81,60,60,60,60,76.6986,55.3454,103.566,51.6892,0,5.88708,0.327799
1,82,60,60,60,60,76.6986,55.3454,103.566,51.6892,0,5.88708,0.327799
1,83,60,60,60,60,76.6986,55.3454,103.566,51.6892,0,5.88708,0.327799
1,84,60,60,60,60,76.6985,55.3454,103.566,51.6892,0,5.88708,0.327799
1,85,60,60,60,60,76.6985,55.3454,103.566,51.6892,0,5.88708,0.327799
1,86,60,60,60,60,76.6985,55.3455,103.566,51.6892,0,5.88708,0.327799
1,87,60,60,60,60,76.6985,55.3455,103.566,51.6892,0,5.88708,0.327799
1,88,60,60,60,60,76.6985,55.3455,103.566,51.6892,0,5.88708,0.327799
1,89,60,60,60,60,76.6985,55.3455,103.566,51.6892,0,5.88708,0.327799
1,90,60,60,60,60,76.6985,55.3455,103.566,51.6892,0,5.88708,0.327799
1,91,60,60,60,60,76.6985,55.3455,103.566,51.6892,0,5.88708,0.327799
1,92,60,60,60,60,76.6985,55.3455,103.566,51.6893,0,5.88708,0.327799
1,93,60,60,60,60,76.6985,55.3455,103.566,51.6893,0,5.88708,0.327799
1,94,60,60,60,60,76.6985,55.3455,103.566,51.6893,0,5.88708,0.327799
1,95,60,60,60,60,76.6985,55.3455,103.566,51.6893,0,5.88708,0.327799
1,96,60,60,60,60,76.6985,55.3455,103.566,51.6893,0,5.88708,0.327799
1,97,60,60,60,60,76.6985,55.3455,103.566,51.6893,0,5.88708,0.327799
1,98,60,60,60,60,76.6985,55.3455,103.566,51.6893,0,5.88708,0.327799
1,99,60,60,60,60,76.6985,55.3455,103.566,51.6893,0,5.88708,0.327799
1,100,60,60,60,60,76.6985,55.3455,103.566,51.6893,0,5.88708,0.327799
2,1,60,60,60,60,76.7057,55.3516,103.56,51.7146,0,5.73165,0.302839
2,2,60,60,60,60,76.7059,55.3527,103.56,51.7152,0,5.73165,0.302839
2,3,60,60,60,60,76.7062,55.3547,103.561,51.7164,0,5.73165,0.302839
2,4,60,60,60,60,76.7067,55.3566,103.561,51.7174,0,5.73165,0.302839
2,5,60,60,60,60,76.7072,55.3587,103.561,51.7183,0,5.73165,0.302839
2,6,60,60,60,60,76.7077,55.3607,103.561,51.7192,0,5.73165,0.302839
2,7,60,60,60,60,76.7088,55.3645,103.562,51.7209,0,5.73165,0.302839
2,8,60,60,60,60,76.7099,55.3679,103.562,51.7225,0,5.73165,0.302839
2,9,60,60,60,60,76.7112,55.3708,103.563,51.7241,0,5.73165,0.302839
2,10,60,60,60,60,76.7124,55.3732,103.563,51.7256,0,5.73165,0.302839
2,11,60,60,60,60,76.7136,55.3749,103.564,51.7271,0,5.73165,0.302839
2,12,60,60,60,60,76.7148,55.3764,103.564,51.7287,0,5.73165,0.302839
2,13,60,60,60,60,76.716,55.3777,103.565,51.7302,0,5.73165,0.302839
2,14,60,60,60,60,76.7163,55.378,103.565,51.7306,0,5.73165,0.302839
2,15,60,60,60,60,76.7164,55.3781,103.565,51.7308,0,5.73165,0.302839
2,16,60,60,60,60,76.7165,55.3782,103.565,51.7309,0,5.73165,0.302839
