outer_iter,iter,N1,N2,N3,N4,DT1,DT2,DT3,DT4,cost,R_abs_sum,RT_abs_sum
0,1,60,60,60,60,299.999,299.999,299.999,299.999,0,0,0
0,2,60,60,60,60,299.999,299.999,299.999,299.999,0,0,0
0,3,60,60,60,60,299.999,299.999,299.999,299.999,0,0,0
0,4,60,60,60,60,299.999,299.999,299.999,299.999,0,0,0
0,5,60,60,60,60,299.999,299.999,299.999,299.999,0,0,0
0,6,60,60,60,60,299.999,299.999,299.999,299.999,0,0,0
0,7,60,60,60,60,299.999,299.999,299.999,299.999,0,0,0
0,8,60,60,60,60,299.999,299.999,299.999,299.999,0,0,0
0,9,60,60,60,60,299.999,299.999,299.999,299.999,0,0,0
0,10,60,60,60,60,299.999,299.999,299.999,299.999,0,0,0
0,11,60,60,60,60,299.999,299.999,299.999,299.999,0,0,0
0,12,60,60,60,60,299.999,299.999,299.999,299.999,0,0,0
0,13,60,60,60,60,299.999,299.999,299.999,299.999,0,0,0
0,14,60,60,60,60,299.999,299.999,299.999,299.999,0,0,0
0,15,60,60,60,60,299.998,299.999,299.998,299.999,0,0,0
0,16,60,60,60,60,299.998,299.999,299.998,299.999,0,0,0
0,17,60,60,60,60,299.997,299.998,299.997,299.998,0,0,0
0,18,60,60,60,60,299.996,299.997,299.996,299.996,0,0,0
0,19,60,60,60,60,299.992,299.994,299.992,299.993,0,0,0
0,20,60,60,60,60,299.981,299.983,299.981,299.982,0,0,0
0,21,60,60,60,60,299.978,299.979,299.978,299.979,0,0,0
0,22,60,60,60,60,299.979,299.98,299.978,299.979,0,0,0
0,23,60,60,60,60,299.979,299.98,299.978,299.979,0,0,0
0,24,60,60,60,60,299.979,299.98,299.978,299.979,0,0,0
0,25,60,60,60,60,299.979,299.98,299.978,299.979,0,0,0
0,26,60,60,60,60,299.979,299.98,299.978,299.979,0,0,0
0,27,60,60,60,60,299.979,299.98,299.978,299.979,0,0,0
0,28,60,60,60,60,299.979,299.98,299.978,299.979,0,0,0
0,29,60,60,60,60,299.979,299.98,299.978,299.979,0,0,0
0,30,60,60,60,60,299.979,299.98,299.978,299.979,0,0,0
0,31,60,60,60,60,299.979,299.98,299.978,299.979,0,0,0
0,32,60,60,60,60,299.979,299.98,299.978,299.979,0,0,0
0,33,60,60,60,60,299.979,299.98,299.978,299.979,0,0,0
0,34,60,60,60,60,299.979,299.98,299.978,299.979,0,0,0
0,35,60,60,60,60,299.979,299.98,299.978,299.979,0,0,0
0,36,60,60,60,60,299.979,299.98,299.978,299.979,0,0,0
0,37,60,60,60,60,299.979,299.98,299.978,299.979,0,0,0
0,38,60,60,60,60,299.979,299.98,299.978,299.979,0,0,0
0,39,60,60,60,60,299.979,299.98,299.978,299.979,0,0,0
0,40,60,60,60,60,299.979,299.98,299.978,299.979,0,0,0
0,41,60,60,60,60,299.979,299.98,299.978,299.979,0,0,0
0,42,60,60,60,60,299.979,299.98,299.978,299.979,0,0,0
0,43,60,60,60,60,299.979,299.98,299.978,299.979,0,0,0
0,44,60,60,60,60,299.979,299.98,299.978,299.979,0,0,0
0,45,60,60,60,60,299.979,299.98,299.978,299.979,0,0,0
0,46,60,60,60,60,299.979,299.98,299.978,299.979,0,0,0
0,47,60,60,60,60,299.979,299.98,299.978,299.979,0,0,0
0,48,60,60,60,60,299.979,299.98,299.978,299.979,0,0,0
0,49,60,60,60,60,299.979,299.98,299.978,299.979,0,0,0
0,50,60,60,60,60,299.979,299.98,299.978,299.979,0,0,0
1,1,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,2,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,3,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,4,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,5,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,6,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,7,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,8,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,9,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,10,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,11,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,12,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,13,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,14,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,15,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,16,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,17,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,18,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,19,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,20,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,21,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,22,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,23,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,24,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,25,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,26,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,27,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,28,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,29,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,30,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,31,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,32,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,33,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,34,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,35,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,36,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,37,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,38,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
1,39,60,60,60,60,299.979,299.98,299.978,299.979,0,3.22578,0.302084
