outer_iter,iter,time,x,y,z,vx,vy,vz
0,1,63.0091,-3.95667e-05,-24.9687,74.9507,-1.03897e-05,0.00343481,-0.00992315
0,1,64.0093,-4.68629e-05,-24.9654,74.9409,-4.31172e-06,0.00312733,-0.00969026
0,1,65.0094,-4.86458e-05,-24.9624,74.9313,6.2345e-07,0.00278714,-0.00938367
0,1,66.0096,-4.60718e-05,-24.9598,74.9221,4.39621e-06,0.00243433,-0.0090206
0,1,67.0097,-4.02784e-05,-24.9576,74.9133,7.06235e-06,0.00208441,-0.00861629
0,1,68.0099,-3.23212e-05,-24.9556,74.9049,8.72841e-06,0.00174892,-0.00818409
0,1,69.01,-2.31333e-05,-24.9541,74.8969,9.53148e-06,0.001436,-0.00773556
0,1,70.0102,-1.35031e-05,-24.9528,74.8894,9.62314e-06,0.00115099,-0.00728064
0,1,71.0103,-4.06561e-06,-24.9517,74.8824,9.15721e-06,0.000896878,-0.00682777
0,1,72.0104,4.69477e-06,-24.9509,74.8758,8.28074e-06,0.000674858,-0.00638397
0,1,73.0106,1.24346e-05,-24.9504,74.8696,7.12787e-06,0.000484682,-0.00595501
0,1,74.0107,1.89363e-05,-24.95,74.8638,5.81597e-06,0.000325052,-0.00554553
0,1,75.0109,2.40906e-05,-24.9497,74.8585,4.44375e-06,0.000193918,-0.00515912
0,1,76.011,2.78775e-05,-24.9496,74.8535,3.09078e-06,8.87461e-05,-0.00479848
0,1,77.0112,3.03471e-05,-24.9495,74.8489,1.81808e-06,6.71921e-06,-0.00446548
0,1,78.0113,3.16022e-05,-24.9495,74.8446,6.69547e-07,-5.50892e-05,-0.0041613
0,1,79.0115,3.1782e-05,-24.9496,74.8405,-3.26162e-07,-9.95873e-05,-0.00388649
0,1,80.0116,3.10475e-05,-24.9497,74.8368,-1.15349e-06,-0.000129568,-0.00364108
0,1,81.0117,2.957e-05,-24.9499,74.8332,-1.80769e-06,-0.00014764,-0.00342464
0,1,82.0119,2.7521e-05,-24.95,74.8299,-2.29265e-06,-0.000156183,-0.00323637
