outer_iter,iter,time,x,y,z,vx,vy,vz
0,1,0,10,-35,5,0,0,0
0,1,4.99999,10.0004,-35.0001,5,0.000175685,-2.74656e-05,-4.05942e-07
0,1,9.99998,10.0018,-35.0003,4.99999,0.000350768,-5.33642e-05,-1.84959e-06
0,1,15,10.0039,-35.0006,4.99998,0.00052532,-7.79398e-05,-4.29586e-06
0,1,20,10.007,-35.001,4.99995,0.000699408,-0.00010143,-7.71074e-06
0,1,25,10.0109,-35.0016,4.9999,0.000873092,-0.000124065,-1.20614e-05
0,1,29.9999,10.0157,-35.0023,4.99983,0.00104643,-0.000146068,-1.7316e-05
0,1,34.9999,10.0214,-35.0031,4.99972,0.00121947,-0.000167649,-2.3444e-05
0,1,39.9999,10.0279,-35.004,4.99959,0.00139225,-0.000189011,-3.0416e-05
0,1,44.9999,10.0353,-35.005,4.99942,0.00156482,-0.000210344,-3.82036e-05
0,1,49.9999,10.0436,-35.0061,4.9992,0.00173722,-0.000231828,-4.67798e-05
0,1,54.9999,10.0527,-35.0073,4.99895,0.00190946,-0.000253629,-5.61185e-05
0,1,59.9999,10.0627,-35.0086,4.99864,0.00208159,-0.000275902,-6.61948e-05
0,1,64.9999,10.0735,-35.01,4.99828,0.00225361,-0.000298791,-7.6985e-05
0,1,69.9999,10.0852,-35.0116,4.99787,0.00242556,-0.000322426,-8.84664e-05
0,1,74.9999,10.0978,-35.0133,4.9974,0.00259745,-0.000346926,-0.000100617
0,1,79.9999,10.1112,-35.0151,4.99686,0.0027693,-0.000372398,-0.000113417
0,1,84.9998,10.1255,-35.017,4.99626,0.00294111,-0.000398936,-0.000126847
0,1,89.9998,10.1406,-35.019,4.99559,0.00311289,-0.000426626,-0.000140888
0,1,94.9998,10.1566,-35.0212,4.99485,0.00328466,-0.00045554,-0.000155522
0,1,99.9998,10.1734,-35.0236,4.99404,0.00345642,-0.000485742,-0.000170732
0,1,105,10.1912,-35.0261,4.99314,0.00362816,-0.000517283,-0.000186504
0,1,110,10.2097,-35.0288,4.99217,0.0037999,-0.000550208,-0.000202822
0,1,115,10.2292,-35.0316,4.99111,0.00397164,-0.000584551,-0.000219672
0,1,120,10.2494,-35.0346,4.98997,0.00414337,-0.000620338,-0.00023704
0,1,125,10.2706,-35.0378,4.98874,0.0043151,-0.00065759,-0.000254915
0,1,130,10.2926,-35.0412,4.98742,0.00448683,-0.000696318,-0.000273285
0,1,135,10.3155,-35.0448,4.98601,0.00465856,-0.000736527,-0.000292138
0,1,140,10.3392,-35.0486,4.9845,0.00483028,-0.000778219,-0.000311464
0,1,145,10.3638,-35.0526,4.98289,0.005002,-0.000821388,-0.000331253
0,1,150,10.3892,-35.0568,4.98118,0.00517372,-0.000866028,-0.000351497
0,1,155,10.4155,-35.0612,4.97938,0.00534543,-0.000912126,-0.000372186
0,1,160,10.4427,-35.0659,4.97746,0.00551713,-0.00095967,-0.000393313
0,1,165,10.4707,-35.0708,4.97544,0.00568884,-0.00100864,-0.000414869
0,1,170,10.4995,-35.076,4.97331,0.00586054,-0.00105903,-0.000436848
0,1,175,10.5293,-35.0814,4.97107,0.00603224,-0.00111082,-0.000459242
0,1,180,10.5599,-35.0871,4.96872,0.00620395,-0.001164,-0.000482045
0,1,185,10.5913,-35.0931,4.96625,0.00637566,-0.00121856,-0.000505251
0,1,190,10.6236,-35.0993,4.96366,0.00654738,-0.00127449,-0.000528855
0,1,195,10.6568,-35.1058,4.96096,0.00671911,-0.00133178,-0.000552849
0,1,200,10.6908,-35.1126,4.95814,0.00689086,-0.00139045,-0.000577229
0,1,205,10.7257,-35.1197,4.95519,0.00706263,-0.0014505,-0.00060199
0,1,210,10.7614,-35.1271,4.95211,0.00723442,-0.00151196,-0.000627126
0,1,215,10.798,-35.1348,4.94892,0.00740625,-0.00157485,-0.000652631
0,1,220,10.8355,-35.1429,4.94559,0.00757811,-0.00163921,-0.0006785
0,1,225,10.8738,-35.1512,4.94213,0.00775001,-0.0017051,-0.000704728
0,1,230,10.913,-35.1599,4.93854,0.00792195,-0.00177258,-0.00073131
0,1,235,10.953,-35.169,4.93482,0.00809395,-0.00184173,-0.000758239
0,1,240,10.9939,-35.1783,4.93096,0.00826599,-0.00191267,-0.000785511
0,1,245,11.0357,-35.1881,4.92696,0.00843808,-0.00198549,-0.000813117
0,1,250,11.0783,-35.1982,4.92282,0.00861022,-0.00206034,-0.000841053
0,1,255,11.1218,-35.2087,4.91855,0.00878241,-0.00213738,-0.00086931
0,1,260,11.1661,-35.2196,4.91413,0.00895464,-0.00221679,-0.000897882
0,1,265,11.2113,-35.2309,4.90957,0.0091269,-0.00229878,-0.000926761
0,1,270,11.2574,-35.2426,4.90486,0.00929918,-0.00238357,-0.000955938
0,1,275,11.3043,-35.2547,4.90001,0.00947146,-0.00247144,-0.000985404
0,1,280,11.3521,-35.2673,4.89501,0.00964373,-0.00256266,-0.00101515
0,1,284.999,11.4008,-35.2803,4.88986,0.00981595,-0.00265755,-0.00104517
0,1,289.999,11.4503,-35.2939,4.88455,0.0099881,-0.00275647,-0.00107544
0,1,294.999,11.5007,-35.3079,4.8791,0.0101601,-0.00285981,-0.00110597
0,1,299.999,11.5519,-35.3225,4.87349,0.010332,-0.00296797,-0.00113672,phase1_terminal
0,1,299.999,-9.22985e-06,-24.9985,74.999,0.00018814,0.00278429,-0.0044143,phase2_init
0,1,304.999,0.000503531,-24.9841,74.9742,1.72687e-05,0.00295167,-0.00552425
0,1,309.999,0.000423328,-24.9707,74.9455,-5.0322e-05,0.00241406,-0.00593271
0,1,314.999,0.000174796,-24.9605,74.9159,-5.04443e-05,0.00166587,-0.00590704
0,1,319.999,-2.05906e-05,-24.9539,74.887,-2.89574e-05,0.000976549,-0.00565209
0,1,324.999,-0.000113216,-24.9503,74.8596,-9.03182e-06,0.000457375,-0.00531569
0,1,329.999,-0.00012753,-24.9489,74.8338,2.70369e-06,0.000124125,-0.00499709
