outer_iter,iter,time,x,y,z,vx,vy,vz
0,1,0,10,-35,5,0,0,0
0,1,1.01334,10,-35,5,3.06699e-05,1.30967e-05,-7.49559e-06
0,1,2.02669,10.0001,-35,4.99998,6.14685e-05,2.59208e-05,-1.49656e-05
0,1,3.04003,10.0001,-34.9999,4.99997,9.23949e-05,3.84716e-05,-2.241e-05
0,1,4.05338,10.0002,-34.9999,4.99994,0.000123448,5.07483e-05,-2.98287e-05
0,1,5.06672,10.0004,-34.9998,4.99991,0.000154627,6.27501e-05,-3.72218e-05
0,1,6.08007,10.0006,-34.9998,4.99986,0.000185931,7.44762e-05,-4.45893e-05
0,1,7.09341,10.0008,-34.9997,4.99982,0.000217359,8.5926e-05,-5.19311e-05
0,1,8.10676,10.001,-34.9996,4.99976,0.00024891,9.70986e-05,-5.92473e-05
0,1,9.1201,10.0013,-34.9995,4.9997,0.000280582,0.000107993,-6.65378e-05
0,1,10.1334,10.0016,-34.9994,4.99962,0.000312376,0.000118609,-7.38026e-05
0,1,11.1468,10.0019,-34.9993,4.99955,0.000344289,0.000128946,-8.10416e-05
0,1,12.1601,10.0023,-34.9991,4.99946,0.000376322,0.000139002,-8.8255e-05
0,1,13.1735,10.0027,-34.999,4.99937,0.000408472,0.000148777,-9.54426e-05
0,1,14.1868,10.0031,-34.9988,4.99927,0.000440739,0.000158271,-0.000102605
0,1,15.2002,10.0036,-34.9986,4.99916,0.000473123,0.000167482,-0.000109741
0,1,16.2135,10.0041,-34.9985,4.99904,0.000505621,0.00017641,-0.000116851
0,1,17.2269,10.0046,-34.9983,4.99892,0.000538233,0.000185054,-0.000123936
0,1,18.2402,10.0051,-34.9981,4.99879,0.000570959,0.000193413,-0.000130994
0,1,19.2536,10.0057,-34.9979,4.99866,0.000603796,0.000201487,-0.000138027
0,1,20.2669,10.0064,-34.9977,4.99851,0.000636745,0.000209274,-0.000145034
0,1,21.2802,10.007,-34.9975,4.99836,0.000669803,0.000216774,-0.000152016
0,1,22.2936,10.0077,-34.9973,4.9982,0.000702971,0.000223987,-0.000158971
0,1,23.3069,10.0085,-34.997,4.99804,0.000736246,0.000230911,-0.000165901
0,1,24.3203,10.0092,-34.9968,4.99787,0.000769629,0.000237545,-0.000172804
0,1,25.3336,10.01,-34.9965,4.99769,0.000803117,0.00024389,-0.000179682
0,1,26.347,10.0108,-34.9963,4.9975,0.000836711,0.000249943,-0.000186534
0,1,27.3603,10.0117,-34.996,4.99731,0.000870409,0.000255705,-0.00019336
0,1,28.3737,10.0126,-34.9958,4.99711,0.000904209,0.000261174,-0.00020016
0,1,29.387,10.0135,-34.9955,4.99691,0.000938112,0.000266351,-0.000206934
0,1,30.4003,10.0145,-34.9952,4.99669,0.000972116,0.000271233,-0.000213682
0,1,31.4137,10.0155,-34.995,4.99647,0.00100622,0.00027582,-0.000220404
0,1,32.427,10.0166,-34.9947,4.99625,0.00104042,0.000280112,-0.0002271
0,1,33.4404,10.0176,-34.9944,4.99601,0.00107472,0.000284108,-0.00023377
0,1,34.4537,10.0187,-34.9941,4.99577,0.00110912,0.000287806,-0.000240414
0,1,35.4671,10.0199,-34.9938,4.99553,0.00114361,0.000291207,-0.000247032
0,1,36.4804,10.021,-34.9935,4.99527,0.0011782,0.000294308,-0.000253623
0,1,37.4938,10.0223,-34.9932,4.99501,0.00121289,0.000297111,-0.000260189
0,1,38.5071,10.0235,-34.9929,4.99474,0.00124766,0.000299613,-0.000266729
0,1,39.5205,10.0248,-34.9926,4.99447,0.00128253,0.000301813,-0.000273242
0,1,40.5338,10.0261,-34.9923,4.99419,0.00131749,0.000303712,-0.000279729
0,1,41.5471,10.0275,-34.992,4.9939,0.00135253,0.000305309,-0.00028619
