outer_iter,iter,N1,N2,N3,N4,DT1,DT2,DT3,DT4,cost,R_abs_sum,RT_abs_sum
0,1,60,60,60,60,60.0087,60.0087,60.0087,60.0087,0,0,0
0,2,60,60,60,60,60.0091,60.0092,60.0091,60.0091,0,0,0
0,3,60,60,60,60,60.0075,60.0077,60.0075,60.0076,0,0,0
0,4,60,60,60,60,60.0052,60.0063,60.0051,60.0054,0,0,0
0,5,60,60,60,60,60.003,60.0071,60.0028,60.0038,0,0,0
0,6,60,60,60,60,56.9093,57.5624,56.7768,56.9922,0,0,0
0,7,60,60,60,60,55.7243,56.8827,55.7976,55.7173,0,0,0
0,8,60,60,60,60,55.2857,56.7856,55.5946,55.1433,0,0,0
0,9,60,60,60,60,55.1166,56.8223,55.6044,54.8738,0,0,0
0,10,60,60,60,60,55.0451,56.7386,55.6458,54.7438,0,0,0
0,11,60,60,60,60,54.9154,56.437,55.7746,54.4883,0,0,0
0,12,60,60,60,60,54.7303,55.5476,56.2714,53.9954,0,0,0
0,13,60,60,60,60,54.7206,53.9998,58.729,53.0698,0,0,0
0,14,60,60,60,60,55.7428,53.2451,65.6801,52.2543,0,0,0
0,15,60,60,60,60,60.8851,53.0783,85.7129,50.7751,0,0,0
0,16,60,60,60,60,71.0258,57.2258,101.968,49.8969,0,0,0
0,17,60,60,60,60,80.0636,66.9489,114.12,49.9347,0,0,0
0,18,60,60,60,60,80.0669,66.9603,114.12,49.9503,0,0,0
0,19,60,60,60,60,80.0731,66.9848,114.12,49.9733,0,0,0
0,20,60,60,60,60,80.0776,67.0078,114.12,49.9895,0,0,0
0,21,60,60,60,60,80.0832,67.0497,114.12,50.0152,0,0,0
0,22,60,60,60,60,80.0843,67.0818,114.12,50.0245,0,0,0
0,23,60,60,60,60,80.0849,67.0949,114.12,50.0303,0,0,0
0,24,60,60,60,60,80.0859,67.1168,114.12,50.0423,0,0,0
0,25,60,60,60,60,80.0871,67.1316,114.12,50.0553,0,0,0
0,26,60,60,60,60,80.0882,67.1428,114.12,50.0696,0,0,0
0,27,60,60,60,60,80.0893,67.1515,114.12,50.0852,0,0,0
0,28,60,60,60,60,80.0904,67.1587,114.12,50.1023,0,0,0
0,29,60,60,60,60,80.0916,67.1651,114.12,50.1212,0,0,0
0,30,60,60,60,60,80.0927,67.1711,114.121,50.142,0,0,0
0,31,60,60,60,60,80.0938,67.1767,114.121,50.165,0,0,0
0,32,60,60,60,60,80.0949,67.1823,114.121,50.1904,0,0,0
0,33,60,60,60,60,80.096,67.1879,114.121,50.2184,0,0,0
0,34,60,60,60,60,80.0972,67.1935,114.121,50.2494,0,0,0
0,35,60,60,60,60,80.0983,67.1991,114.121,50.2834,0,0,0
0,36,60,60,60,60,80.0994,67.2048,114.121,50.3207,0,0,0
0,37,60,60,60,60,80.1005,67.2105,114.121,50.3614,0,0,0
0,38,60,60,60,60,80.1017,67.2163,114.122,50.4056,0,0,0
0,39,60,60,60,60,80.1028,67.2222,114.122,50.4534,0,0,0
0,40,60,60,60,60,80.1039,67.2281,114.122,50.5051,0,0,0
0,41,60,60,60,60,80.1044,67.2311,114.122,50.5329,0,0,0
0,42,60,60,60,60,80.105,67.2341,114.122,50.5618,0,0,0
0,43,60,60,60,60,80.1056,67.2372,114.122,50.5918,0,0,0
0,44,60,60,60,60,80.1061,67.2402,114.122,50.623,0,0,0
0,45,60,60,60,60,80.1067,67.2433,114.122,50.6553,0,0,0
0,46,60,60,60,60,80.1069,67.2448,114.122,50.6721,0,0,0
0,47,60,60,60,60,80.1072,67.2463,114.122,50.6892,0,0,0
0,48,60,60,60,60,80.1075,67.2479,114.122,50.7066,0,0,0
0,49,60,60,60,60,80.1078,67.2494,114.122,50.7243,0,0,0
0,50,60,60,60,60,80.1081,67.251,114.122,50.7424,0,0,0
1,1,60,60,60,60,80.1081,67.251,114.122,50.7424,0,5.12494,0.367636
1,2,60,60,60,60,80.1081,67.251,114.122,50.7424,0,5.12494,0.367636
1,3,60,60,60,60,80.1081,67.251,114.122,50.7424,0,5.12494,0.367636
