outer_iter,iter,N1,N2,N3,N4,DT1,DT2,DT3,DT4,cost,R_abs_sum,RT_abs_sum
0,1,60,60,60,60,60.8007,60.8007,60.8008,60.8008,0,0,0
0,2,60,60,60,60,62.3911,62.3939,62.3982,62.3957,0,0,0
0,3,60,60,60,60,65.1279,65.4629,65.6829,65.5434,0,0,0
0,4,60,60,60,60,76.0211,87.7926,94.5374,89.9956,0,0,0
0,5,60,60,60,60,76.0211,87.7925,94.5374,89.9956,0,0,0
0,6,60,60,60,60,76.0211,87.7925,94.5374,89.9956,0,0,0
0,7,60,60,60,60,76.0211,87.7925,94.5374,89.9956,0,0,0
0,8,60,60,60,60,76.0212,87.793,94.5374,89.9958,0,0,0
0,9,60,60,60,60,76.0214,87.7952,94.5375,89.9964,0,0,0
0,10,60,60,60,60,76.0215,87.7959,94.5375,89.9967,0,0,0
0,11,60,60,60,60,76.0215,87.7962,94.5375,89.9968,0,0,0
0,12,60,60,60,60,76.0216,87.7969,94.5376,89.9971,0,0,0
0,13,60,60,60,60,76.0219,87.7978,94.5376,89.9977,0,0,0
0,14,60,60,60,60,76.0225,87.7993,94.5377,89.9989,0,0,0
0,15,60,60,60,60,76.0253,87.8059,94.538,90.0043,0,0,0
0,16,60,60,60,60,76.0293,87.8148,94.5383,90.0102,0,0,0
0,17,60,60,60,60,76.0336,87.8247,94.5385,90.0157,0,0,0
0,18,60,60,60,60,76.0377,87.8353,94.5387,90.0203,0,0,0
0,19,60,60,60,60,76.0413,87.8465,94.5389,90.0244,0,0,0
0,20,60,60,60,60,76.0445,87.858,94.539,90.0279,0,0,0
0,21,60,60,60,60,76.0472,87.8698,94.5391,90.031,0,0,0
0,22,60,60,60,60,76.0496,87.8817,94.5392,90.0337,0,0,0
0,23,60,60,60,60,76.0535,87.9051,94.5394,90.0386,0,0,0
0,24,60,60,60,60,76.0562,87.9252,94.5395,90.0427,0,0,0
0,25,60,60,60,60,76.0603,87.9605,94.5397,90.0501,0,0,0
0,26,60,60,60,60,76.0627,87.984,94.5397,90.0567,0,0,0
0,27,60,60,60,60,76.0639,87.9934,94.5398,90.0602,0,0,0
0,28,60,60,60,60,76.0663,88.0105,94.5399,90.0675,0,0,0
0,29,60,60,60,60,76.0674,88.0176,94.5399,90.0715,0,0,0
0,30,60,60,60,60,76.0697,88.0308,94.5399,90.0798,0,0,0
0,31,60,60,60,60,76.0709,88.0365,94.54,90.0844,0,0,0
0,32,60,60,60,60,76.0733,88.0471,94.5401,90.0939,0,0,0
0,33,60,60,60,60,76.0744,88.0517,94.5401,90.0991,0,0,0
0,34,60,60,60,60,76.0755,88.056,94.5402,90.1046,0,0,0
0,35,60,60,60,60,76.0778,88.0643,94.5403,90.116,0,0,0
0,36,60,60,60,60,76.0789,88.068,94.5403,90.1223,0,0,0
0,37,60,60,60,60,76.0801,88.0716,94.5403,90.1288,0,0,0
0,38,60,60,60,60,76.0813,88.075,94.5404,90.1357,0,0,0
0,39,60,60,60,60,76.0836,88.0819,94.5405,90.1499,0,0,0
0,40,60,60,60,60,76.0857,88.0884,94.5405,90.1653,0,0,0
0,41,60,60,60,60,76.086,88.0892,94.5405,90.1674,0,0,0
0,42,60,60,60,60,76.0863,88.09,94.5405,90.1695,0,0,0
0,43,60,60,60,60,76.0866,88.0907,94.5405,90.1716,0,0,0
0,44,60,60,60,60,76.0869,88.0915,94.5405,90.1738,0,0,0
0,45,60,60,60,60,76.0872,88.0923,94.5405,90.176,0,0,0
0,46,60,60,60,60,76.0875,88.0931,94.5406,90.1782,0,0,0
0,47,60,60,60,60,76.0881,88.0947,94.5406,90.1826,0,0,0
0,48,60,60,60,60,76.0886,88.0963,94.5406,90.1871,0,0,0
0,49,60,60,60,60,76.0892,88.0979,94.5406,90.1917,0,0,0
0,50,60,60,60,60,76.0903,88.101,94.5406,90.201,0,0,0
1,1,60,60,60,60,76.0903,88.101,94.5406,90.201,0,7.3805,0.685112
1,2,60,60,60,60,76.0903,88.101,94.5406,90.2011,0,7.3805,0.685112
1,3,60,60,60,60,76.0903,88.101,94.5406,90.2011,0,7.3805,0.685112
1,4,60,60,60,60,76.0903,88.1011,94.5406,90.2011,0,7.3805,0.685112
1,5,60,60,60,60,76.0903,88.1011,94.5406,90.2012,0,7.3805,0.685112
1,6,60,60,60,60,76.0903,88.1011,94.5406,90.2012,0,7.3805,0.685112
1,7,60,60,60,60,76.0903,88.1011,94.5406,90.2013,0,7.3805,0.685112
1,8,60,60,60,60,76.0903,88.1011,94.5406,90.2013,0,7.3805,0.685112
1,9,60,60,60,60,76.0903,88.1011,94.5406,90.2014,0,7.3805,0.685112
1,10,60,60,60,60,76.0903,88.1011,94.5406,90.2014,0,7.3805,0.685112
1,11,60,60,60,60,76.0903,88.1011,94.5406,90.2014,0,7.3805,0.685112
1,12,60,60,60,60,76.0903,88.1011,94.5406,90.2015,0,7.3805,0.685112
1,13,60,60,60,60,76.0903,88.1012,94.5406,90.2015,0,7.3805,0.685112
1,14,60,60,60,60,76.0903,88.1012,94.5406,90.2016,0,7.3805,0.685112
1,15,60,60,60,60,76.0903,88.1012,94.5406,90.2016,0,7.3805,0.685112
1,16,60,60,60,60,76.0903,88.1012,94.5406,90.2017,0,7.3805,0.685112
1,17,60,60,60,60,76.0903,88.1012,94.5406,90.2017,0,7.3805,0.685112
1,18,60,60,60,60,76.0903,88.1012,94.5406,90.2018,0,7.3805,0.685112
1,19,60,60,60,60,76.0903,88.1012,94.5406,90.2018,0,7.3805,0.685112
1,20,60,60,60,60,76.0903,88.1012,94.5405,90.2018,0,7.3805,0.685112
1,21,60,60,60,60,76.0903,88.1012,94.5405,90.2019,0,7.3805,0.685112
1,22,60,60,60,60,76.0903,88.1012,94.5405,90.2019,0,7.3805,0.685112
1,23,60,60,60,60,76.0903,88.1013,94.5405,90.202,0,7.3805,0.685112
1,24,60,60,60,60,76.0903,88.1013,94.5405,90.202,0,7.3805,0.685112
1,25,60,60,60,60,76.0903,88.1013,94.5405,90.2021,0,7.3805,0.685112
1,26,60,60,60,60,76.0903,88.1013,94.5405,90.2021,0,7.3805,0.685112
1,27,60,60,60,60,76.0903,88.1013,94.5405,90.2021,0,7.3805,0.685112
1,28,60,60,60,60,76.0903,88.1013,94.5405,90.2022,0,7.3805,0.685112
1,29,60,60,60,60,76.0903,88.1013,94.5405,90.2022,0,7.3805,0.685112
1,30,60,60,60,60,76.0903,88.1013,94.5405,90.2023,0,7.3805,0.685112
1,31,60,60,60,60,76.0903,88.1013,94.5405,90.2023,0,7.3805,0.685112
1,32,60,60,60,60,76.0903,88.1014,94.5405,90.2024,0,7.3805,0.685112
1,33,60,60,60,60,76.0903,88.1014,94.5405,90.2024,0,7.3805,0.685112
1,34,60,60,60,60,76.0903,88.1014,94.5405,90.2025,0,7.3805,0.685112
1,35,60,60,60,60,76.0903,88.1014,94.5405,90.2025,0,7.3805,0.685112
1,36,60,60,60,60,76.0903,88.1014,94.5405,90.2025,0,7.3805,0.685112
1,37,60,60,60,60,76.0903,88.1014,94.5405,90.2026,0,7.3805,0.685112
1,38,60,60,60,60,76.0903,88.1014,94.5405,90.2026,0,7.3805,0.685112
1,39,60,60,60,60,76.0903,88.1014,94.5405,90.2027,0,7.3805,0.685112
1,40,60,60,60,60,76.0903,88.1014,94.5405,90.2027,0,7.3805,0.685112
1,41,60,60,60,60,76.0903,88.1015,94.5405,90.2028,0,7.3805,0.685112
1,42,60,60,60,60,76.0903,88.1015,94.5405,90.2028,0,7.3805,0.685112
1,43,60,60,60,60,76.0903,88.1015,94.5405,90.2029,0,7.3805,0.685112
1,44,60,60,60,60,76.0903,88.1015,94.5405,90.2029,0,7.3805,0.685112
1,45,60,60,60,60,76.0903,88.1015,94.5405,90.2029,0,7.3805,0.685112
1,46,60,60,60,60,76.0903,88.1015,94.5405,90.203,0,7.3805,0.685112
1,47,60,60,60,60,76.0903,88.1015,94.5405,90.203,0,7.3805,0.685112
1,48,60,60,60,60,76.0903,88.1015,94.5405,90.2031,0,7.3805,0.685112
1,49,60,60,60,60,76.0903,88.1016,94.5405,90.2031,0,7.3805,0.685112
1,50,60,60,60,60,76.0903,88.1016,94.5405,90.2032,0,7.3805,0.685112
2,1,60,60,60,60,76.1011,88.1124,94.541,90.2129,0,7.18073,0.60081
2,2,60,60,60,60,76.1098,88.122,94.5413,90.2196,0,7.18073,0.60081
2,3,60,60,60,60,76.1122,88.1246,94.5417,90.2208,0,7.18073,0.60081
2,4,60,60,60,60,76.1147,88.1276,94.5422,90.222,0,7.18073,0.60081
