time,u0,u1,u2,phase
54,7.93967e-05,-9.75016e-05,-5.53765e-05,1
54.5,8.09006e-05,-9.70021e-05,-5.53002e-05,1
55,8.23744e-05,-9.64882e-05,-5.52111e-05,1
55.5,8.38182e-05,-9.59606e-05,-5.51096e-05,1
56,8.52319e-05,-9.54196e-05,-5.49959e-05,1
56.5,8.66155e-05,-9.48657e-05,-5.48704e-05,1
57,8.79691e-05,-9.42993e-05,-5.47333e-05,1
57.5,8.92925e-05,-9.37209e-05,-5.4585e-05,1
58,9.05857e-05,-9.3131e-05,-5.44257e-05,1
58.5,9.18488e-05,-9.253e-05,-5.42555e-05,1
59,9.30815e-05,-9.19184e-05,-5.40748e-05,1
59.5,9.42839e-05,-9.12966e-05,-5.38837e-05,1
60,9.54559e-05,-9.06651e-05,-5.36823e-05,1
60.5,9.65974e-05,-9.00244e-05,-5.34709e-05,1
61,9.77083e-05,-8.93749e-05,-5.32495e-05,1
61.5,9.87885e-05,-8.87171e-05,-5.30183e-05,1
62,9.9838e-05,-8.80514e-05,-5.27774e-05,1
62.5,0.000100857,-8.73782e-05,-5.25268e-05,1
63,0.000101844,-8.66981e-05,-5.22668e-05,1
63.5,0.000102801,-8.60114e-05,-5.19973e-05,1
64,0.000103727,-8.53185e-05,-5.17185e-05,1
64.5,0.000104621,-8.462e-05,-5.14303e-05,1
65,0.000105484,-8.39161e-05,-5.11329e-05,1
65.5,0.000106316,-8.32074e-05,-5.08263e-05,1
66,0.000107117,-8.24941e-05,-5.05105e-05,1
66.5,0.000107886,-8.17767e-05,-5.01855e-05,1
67,0.000108623,-8.10556e-05,-4.98515e-05,1
67.5,0.000109329,-8.03311e-05,-4.95084e-05,1
68,0.000110003,-7.96037e-05,-4.91562e-05,1
68.5,0.000110646,-7.88735e-05,-4.8795e-05,1
69,0.000111256,-7.81411e-05,-4.84248e-05,1
69.5,0.000111835,-7.74066e-05,-4.80457e-05,1
70,0.000112383,-7.66705e-05,-4.76576e-05,1
70.5,0.000112898,-7.59331e-05,-4.72607e-05,1
71,0.000113382,-7.51945e-05,-4.68549e-05,1
71.5,0.000113834,-7.44552e-05,-4.64402e-05,1
72,0.000114255,-7.37154e-05,-4.60168e-05,1
72.5,0.000114644,-7.29754e-05,-4.55846e-05,1
73,0.000115001,-7.22354e-05,-4.51438e-05,1
73.5,0.000115327,-7.14957e-05,-4.46944e-05,1
74,0.000115622,-7.07565e-05,-4.42365e-05,1
74.5,0.000115885,-7.0018e-05,-4.377e-05,1
75,0.000116117,-6.92804e-05,-4.32952e-05,1
75.5,0.000116318,-6.8544e-05,-4.28121e-05,1
76,0.000116487,-6.78089e-05,-4.23209e-05,1
76.5,0.000116627,-6.70753e-05,-4.18215e-05,1
77,0.000116735,-6.63434e-05,-4.13142e-05,1
77.5,0.000116813,-6.56133e-05,-4.0799e-05,1
78,0.000116861,-6.48852e-05,-4.02762e-05,1
78.5,0.000116879,-6.41593e-05,-3.97458e-05,1
79,0.000116867,-6.34355e-05,-3.92079e-05,1
79.5,0.000116825,-6.27142e-05,-3.86629e-05,1
80,0.000116754,-6.19954e-05,-3.81108e-05,1
80.5,0.000116654,-6.12791e-05,-3.75518e-05,1
81,0.000116526,-6.05656e-05,-3.69861e-05,1
81.5,0.000116368,-5.98548e-05,-3.64139e-05,1
82,0.000116183,-5.91469e-05,-3.58354e-05,1
82.5,0.000115969,-5.84419e-05,-3.52509e-05,1
83,0.000115728,-5.77399e-05,-3.46606e-05,1
83.5,0.00011546,-5.7041e-05,-3.40646e-05,1
84,0.000115164,-5.63452e-05,-3.34634e-05,1
84.5,0.000114842,-5.56525e-05,-3.2857e-05,1
85,0.000114494,-5.49631e-05,-3.22458e-05,1
85.5,0.00011412,-5.42768e-05,-3.16301e-05,1
86,0.000113721,-5.35938e-05,-3.101e-05,1
86.5,0.000113296,-5.29141e-05,-3.0386e-05,1
87,0.000112847,-5.22377e-05,-2.97583e-05,1
87.5,0.000112374,-5.15645e-05,-2.91272e-05,1
88,0.000111876,-5.08947e-05,-2.8493e-05,1
88.5,0.000111356,-5.02282e-05,-2.7856e-05,1
89,0.000110812,-4.95651e-05,-2.72166e-05,1
89.5,0.000110246,-4.89052e-05,-2.6575e-05,1
90,0.000109657,-4.82487e-05,-2.59316e-05,1
90.5,0.000109047,-4.75955e-05,-2.52867e-05,1
91,0.000108416,-4.69456e-05,-2.46406e-05,1
91.5,0.000107764,-4.62989e-05,-2.39938e-05,1
92,0.000107091,-4.56556e-05,-2.33464e-05,1
92.5,0.000106399,-4.50155e-05,-2.2699e-05,1
93,0.000105688,-4.43786e-05,-2.20517e-05,1
93.5,0.000104957,-4.37449e-05,-2.1405e-05,1
94,0.000104208,-4.31144e-05,-2.07592e-05,1
94.5,0.000103442,-4.24871e-05,-2.01147e-05,1
95,0.000102657,-4.1863e-05,-1.94718e-05,1
95.5,0.000101856,-4.12419e-05,-1.88308e-05,1
96,0.000101038,-4.0624e-05,-1.81922e-05,1
96.5,0.000100205,-4.00091e-05,-1.75562e-05,1
97,9.93553e-05,-3.93972e-05,-1.69232e-05,1
97.5,9.8491e-05,-3.87884e-05,-1.62936e-05,1
98,9.76122e-05,-3.81826e-05,-1.56677e-05,1
98.5,9.67192e-05,-3.75797e-05,-1.50458e-05,1
99,9.58127e-05,-3.69798e-05,-1.44283e-05,1
99.5,9.48931e-05,-3.63828e-05,-1.38155e-05,1
100,9.39608e-05,-3.57887e-05,-1.32077e-05,1
100.5,9.30164e-05,-3.51975e-05,-1.26053e-05,1
101,9.20603e-05,-3.46091e-05,-1.20086e-05,1
101.5,9.10931e-05,-3.40236e-05,-1.14179e-05,1
102,9.01151e-05,-3.34408e-05,-1.08335e-05,1
102.5,8.91268e-05,-3.28608e-05,-1.02557e-05,1
103,8.81287e-05,-3.22836e-05,-9.68491e-06,1
103.5,8.71213e-05,-3.17091e-05,-9.12133e-06,1
104,8.6105e-05,-3.11374e-05,-8.56527e-06,1
104.5,8.50803e-05,-3.05683e-05,-8.01702e-06,1
105,8.40476e-05,-3.00019e-05,-7.47685e-06,1
105.5,8.30074e-05,-2.94382e-05,-6.94504e-06,1
106,8.19601e-05,-2.88772e-05,-6.42184e-06,1
106.5,8.09062e-05,-2.83188e-05,-5.90752e-06,1
107,7.9846e-05,-2.7763e-05,-5.40232e-06,1
