phase,node,time,normalized_time,T_i,qw,qx,qy,qz,wx,wy,wz,taux,tauy,tauz
1,33,16.5,0.1542056074766355,107.0,0.7071068646336618,4.617378374607675e-05,-4.394681279441637e-05,0.7071066948652104,9.822026156328155e-07,-1.5043484940426567e-05,-1.5622894241587e-09,3.1766354111085845e-08,-5.576194119570638e-07,2.795289311516576e-09
1,34,17.0,0.1588785046728972,107.0,0.7071068647281811,4.900675157243388e-05,-4.6432520155395114e-05,0.7071066944211314,1.0616185361649815e-06,-1.5391997073018807e-05,5.4480974801514785e-09,3.197490603703198e-08,-5.402360383356621e-07,2.774976018787068e-09
1,35,17.5,0.16355140186915887,107.0,0.7071068635681267,5.1915367018806026e-05,-4.896579755026462e-05,0.707106695202695,1.141555675473013e-06,-1.5729644597096574e-05,1.2410048171377662e-08,3.190491502664925e-08,-5.219125593558993e-07,2.9075340159728475e-09
1,36,18.0,0.16822429906542055,107.0,0.7071068611614344,5.489780161127432e-05,-5.154463223413834e-05,0.7071066972008093,1.2213176702323325e-06,-1.605583994681053e-05,1.9705817609116334e-08,3.1518479244006245e-08,-5.026181962958108e-07,3.51729950098611e-09
1,37,18.5,0.17289719626168223,107.0,0.7071068574484964,5.795199990227988e-05,-5.416703070013965e-05,0.7071067004739708,1.3001133937533958e-06,-1.6369976319610117e-05,2.8528480283299172e-08,3.077526355838717e-08,-4.823233986825027e-07,2.618818171117749e-09
1,38,19.0,0.17757009345794392,107.0,0.7071068521588334,6.107565930633423e-05,-5.683103204337763e-05,0.7071067052916009,1.3770508521348287e-06,-1.6671428443899218e-05,3.510744994936782e-08,2.9633065789507336e-08,-4.609999774087014e-07,2.042251857811083e-09
1,39,19.5,0.1822429906542056,107.0,0.7071068456885615,6.426620907228559e-05,-5.9534722454030434e-05,0.7071067112565871,1.4511326386729243e-06,-1.695955342988966e-05,4.024751570101022e-08,2.804748390962109e-08,-4.386211680006334e-07,1.7196588480516504e-09
1,40,20.0,0.18691588785046728,107.0,0.707106838291581,6.752078847377796e-05,-6.22762508020031e-05,0.7071067181141044,1.5212503245785192e-06,-1.723369165999718e-05,4.4583578663419645e-08,2.5972257493526693e-08,-4.151617503788237e-07,1.6691971193262587e-09
1,41,20.5,0.19158878504672897,107.0,0.7071068301096175,7.083622422708603e-05,-6.505384530498546e-05,0.7071067257215843,1.5861798158042827e-06,-1.749316775408783e-05,4.879589660031122e-08,2.33591620920839e-08,-3.905981073478379e-07,1.4403580952982853e-09
1,42,21.0,0.19626168224299065,107.0,0.7071068211642126,7.420900725571142e-05,-6.78658311912659e-05,0.7071067340567326,1.6445764406437313e-06,-1.773729157128053e-05,5.243841280308316e-08,2.0158672352707914e-08,-3.6490836598257887e-07,5.996228481515621e-10
1,43,21.5,0.20093457943925233,107.0,0.7071068115558407,7.763526878340082e-05,-7.071064938650483e-05,0.7071067430184248,1.6949717263538379e-06,-1.7965359300116018e-05,5.398122542117337e-08,1.632013590262972e-08,-3.3807246778556997e-07,-3.5673165172741707e-10
1,44,22.0,0.205607476635514,107.0,0.707106801655518,8.111075605247972e-05,-7.358687596007349e-05,0.7071067522351069,1.7357706114237142e-06,-1.81766545925741e-05,5.3135072455807886e-08,1.179213699975497e-08,-3.100722475507497e-07,-1.299879880925906e-09
1,45,22.5,0.2102803738317757,107.0,0.7071067918854979,8.463080771021433e-05,-7.649324230802007e-05,0.7071067612841114,1.765249505197771e-06,-1.8370449747380826e-05,4.993269850750042e-08,6.522827894274e-09,-2.808915042139023e-07,-1.7192013756064202e-09
1,46,23.0,0.21495327102803738,107.0,0.7071067826623592,8.819032907537338e-05,-7.942865587305702e-05,0.7071067697485804,1.7815551990056944e-06,-1.854600693759709e-05,4.568333770923214e-08,4.6049583818415874e-10,-2.5051608639261024e-07,-2.356733086494092e-09
1,47,23.5,0.21962616822429906,107.0,0.7071067741713656,9.178376740942787e-05,-8.239222129621625e-05,0.7071067774431175,1.7827051677372957e-06,-1.8702579491669797e-05,3.9841066095359234e-08,-6.44581704611249e-09,-2.1893397908493758e-07,-2.9318271326521317e-09
1,48,24.0,0.22429906542056074,107.0,0.7071067666944275,9.540508752825325e-05,-8.538326167437364e-05,0.7071067840858374,1.7665895074272808e-06,-1.8839413228669653e-05,3.2561510041096814e-08,-1.4245792776157797e-08,-1.861353892727191e-07,-2.8754518910258433e-09
1,49,24.5,0.22897196261682243,107.0,0.707106760486097,9.90477479433055e-05,-8.840133976561913e-05,0.7071067894223821,1.730974105328512e-06,-1.8955747847031013e-05,2.5422802577907914e-08,-2.2987071456278893e-08,-1.52112712658762e-07,-1.97251361269058e-09
1,50,25.0,0.2336448598130841,107.0,0.7071067555221162,0.00010270467779066139,-9.144627890011208e-05,0.7071067934773837,1.6735057038265938e-06,-1.90508182925025e-05,2.0540736409061248e-08,-3.2714969499020036e-08,-1.1686071461633495e-07,-1.3572075686886985e-09
1,51,25.5,0.2383177570093458,107.0,0.7071067514043846,0.00010636825491296289,-9.451818322005636e-05,0.7071067966495066,1.5917176931032866e-06,-1.9123856239191033e-05,1.719553996688612e-08,-4.3471163335672865e-08,-8.03765489180665e-08,-7.108576721095373e-10
1,52,26.0,0.24299065420560748,107.0,0.7071067478622352,0.0001100302853051886,-9.761745706977466e-05,0.7071067992101824,1.48303929149739e-06,-1.9174091582311453e-05,1.5464055457177592e-08,-5.529314019600439e-08,-4.2659789281074015e-08,-4.485887269221864e-10
1,53,26.5,0.24766355140186916,107.0,0.7071067446116249,0.0001136819843672373,-0.00010074482311632758,0.7071068014444276,1.3448059962442019e-06,-1.9200753950651798e-05,1.4385237536796518e-08,-6.82132432065871e-08,-3.7125131356821105e-09,-8.108003365226462e-10
1,54,27.0,0.2523364485981308,107.0,0.7071067415386222,0.00011731396031506924,-0.00010390133884082873,0.7071068034673641,1.1742724739170484e-06,-1.9203074271394077e-05,1.2396968629146081e-08,-8.225741810909197e-08,3.64606530367669e-08,-9.45478643671107e-10
1,55,27.5,0.2570093457943925,107.0,0.7071067388056742,0.00012091620013911995,-0.0001070884110366856,0.7071068051179573,9.68628571554623e-07,-1.9180286363271152e-05,1.006709648224315e-08,-9.744459224987664e-08,7.78525294811741e-08,-1.2450915567483106e-09
1,56,28.0,0.2616822429906542,107.0,0.7071067364750905,0.0001244780586035708,-0.00011030780783948731,0.7071068063355371,7.25016801295119e-07,-1.9131628532362835e-05,6.982235450419877e-09,-1.1378512897172664e-07,1.2045330605426204e-07,-1.6847952483252123e-09
1,57,28.5,0.26635514018691586,107.0,0.7071067346825112,0.00012798825069761221,-0.00011356166785896748,0.7071068069863317,4.4055377849305026e-07,-1.9056345216088505e-05,2.7910534577776497e-09,-1.312803675290266e-07,1.6425055346529476e-07,-1.1090014242015853e-09
1,58,29.0,0.27102803738317754,107.0,0.7071067336259457,0.00013143484814062616,-0.00011685250584171846,0.7071068068744267,1.1235277988875086e-07,-1.895368862017427e-05,3.114291474711944e-11,-1.4992076145123247e-07,2.0922920419015842e-07,-6.073937233980355e-10
1,59,29.5,0.2757009345794392,107.0,0.7071067330550832,0.00013480528008173558,-0.00012018321472865072,0.7071068062524518,-2.624491246259611e-07,-1.882292036754882e-05,-1.4841471442278049e-09,-1.6968486246208948e-07,2.553715184523167e-07,3.516355889448551e-11
1,60,30.0,0.2803738317757009,107.0,0.7071067327528794,0.00013808633904617858,-0.0001235570630283288,0.707106805339985,-6.866612388788773e-07,-1.8663313168501206e-05,-1.403648335223241e-09,-1.9053813681205925e-07,3.026571313508745e-07,6.778847778527718e-11
1,61,30.5,0.2850467289719626,107.0,0.7071067324404813,0.00014126419235899816,-0.000126977687315109,0.7071068044186164,-1.163006541616089e-06,-1.847415246138355e-05,-1.2534002012197859e-09,-2.1243185182962938e-07,3.510630112252055e-07,1.1322634965878621e-10
1,62,31.0,0.2897196261682243,107.0,0.7071067321090708,0.0001443243997139949,-0.0001304490791533832,0.7071068035000878,-1.69408613645959e-06,-1.8254738079335895e-05,-1.0025626671606184e-09,-2.3530113332219577e-07,4.0056351443933674e-07,4.746080806545515e-10
1,63,31.5,0.29439252336448596,107.0,0.7071067317446366,0.0001472519372162125,-0.0001339755661500949,0.7071068026014994,-2.282338942316063e-06,-1.800438588277077e-05,1.3756988666632619e-10,-2.590642169445624e-07,4.5113041563755584e-07,1.2798070260683946e-09
1,64,32.0,0.29906542056074764,107.0,0.7071067311939883,0.00015003122886019597,-0.00013756178614546897,0.7071068018792676,-2.92999948839664e-06,-1.7722429372948062e-05,3.275449285606933e-09,-2.836213128033868e-07,5.027329933183852e-07,9.054700507418519e-10
1,65,32.5,0.3037383177570093,107.0,0.7071067301082162,0.00015264618576670732,-0.00014121265421382582,0.7071068016856331,-3.6390528574830244e-06,-1.7408221252066093e-05,5.4612343491653685e-09,-3.0885231993134725e-07,5.553379399428879e-07,-9.319166725443053e-10
1,66,33.0,0.308411214953271,107.0,0.7071067286600797,0.00015508025381354628,-0.00014493332180883382,0.7071068018512332,-4.411183799922198e-06,-1.706113503953504e-05,3.0364185118864263e-09,-3.3461575600717577e-07,6.089093878443584e-07,-2.402037692257867e-09
1,67,33.5,0.3130841121495327,107.0,0.7071067276692542,0.00015731647044111535,-0.00014872912731858106,0.7071068015598102,-5.247723267653242e-06,-1.6680566672056792e-05,-3.0815654226536533e-09,-3.6074794576258165e-07,6.63409025128115e-07,-3.6075984456345503e-09
1,68,34.0,0.3177570093457944,107.0,0.7071067277933767,0.00015933753099881795,-0.00015260553765884837,0.7071068001571135,-6.149593054963078e-06,-1.6265936031267447e-05,-1.2231864033610029e-08,-3.8706172080763185e-07,7.187961104607369e-07,-4.198866498070622e-09
1,69,34.5,0.32242990654205606,107.0,0.7071067295733634,0.00016112586531480112,-0.00015656808016812628,0.7071067971055265,-7.117247058545669e-06,-1.5816688462136495e-05,-2.2879073609949745e-08,-4.1334395080537174e-07,7.750274002410007e-07,-5.219978258117089e-09
1,70,35.0,0.32710280373831774,107.0,0.7071067332787616,0.00016266372487461073,-0.00016062226443203591,0.7071067921386512,-8.150606392760771e-06,-1.5332296336884222e-05,-3.6097876174597535e-08,-4.3935645068142405e-07,8.320573930221618e-07,-6.204322117715143e-09
1,71,35.5,0.3317757009345794,107.0,0.7071067393690991,0.00016393328188275176,-0.00016477349277360686,0.7071067847998924,-9.248996689278658e-06,-1.4812260466135158e-05,-5.17961327382124e-08,-4.6483361782600663e-07,8.898382408312831e-07,-6.4870404627558076e-09
1,72,36.0,0.3364485981308411,107.0,0.7071067482875583,0.0001649167395126804,-0.0001690269600598616,0.7071067746487124,-1.04110795830272e-05,-1.4256111565496928e-05,-6.821923171749664e-08,-4.894821679650457e-07,9.483199459732128e-07,-5.946739853202435e-09
1,73,36.5,0.3411214953271028,107.0,0.7071067601670261,0.00016559645450200028,-0.0001733875416780042,0.7071067615545097,-1.1634783544139521e-05,-1.3663411599136657e-05,-8.330871361883029e-08,-5.129805922441834e-07,1.0074503051520752e-06,-5.938843168835026e-09
1,74,37.0,0.34579439252336447,107.0,0.7071067747763109,0.0001659550722641599,-0.00017785966946681515,0.7071067457503281,-1.2917233317340237e-05,-1.303375515828141e-05,-9.839427779576734e-08,-5.349780373222421e-07,1.06717516552428e-06,-5.806575224414347e-09
1,75,37.5,0.35046728971962615,107.0,0.7071067921190181,0.00016597567487990525,-0.00018244719526456677,0.7071067272339115,-1.4254676486988539e-05,-1.2366770679685527e-05,-1.1316325594159173e-07,-5.550945960114064e-07,1.1274384401928416e-06,-5.9789352760790254e-09
1,76,38.0,0.35514018691588783,107.0,0.7071068121431425,0.00016564194207144484,-0.00018715324189830682,0.7071067060580446,-1.564241087783505e-05,-1.1662121654413974e-05,-1.2837502060487467e-07,-5.729206679632404e-07,1.1881822157075703e-06,-7.1234904790936125e-09
1,77,38.5,0.3598130841121495,107.0,0.7071068349305054,0.0001649383253436977,-0.00019198004144076061,0.7071066821410591,-1.70747103020705e-05,-1.091950776943812e-05,-1.464573823508034e-07,-5.8801806353064e-07,1.2493466917258423e-06,-6.511007041767729e-09
1,78,39.0,0.3644859813084112,107.0,0.7071068609916191,0.00016385023548729627,-0.00019692876051880534,0.7071066549719203,-1.854475306204927e-05,-1.0138666086943485e-05,-1.6301457110321257e-07,-5.999195907452185e-07,1.3108705988754986e-06,-5.874072073739548e-09
1,79,39.5,0.3691588785046729,107.0,0.7071068900593668,0.000162364242519401,-0.00020199931354126613,0.7071066248165182,-2.004454955980374e-05,-9.319371962473221e-06,-1.7798177987623838e-07,-6.08130076874303e-07,1.3726910537611578e-06,-5.100611028831016e-09
1,80,40.0,0.37383177570093457,107.0,0.7071069218545499,0.00016046828911310998,-0.00020719016283107864,0.7071065919521083,-2.1564872263989654e-05,-8.461440053692608e-06,-1.910135113682969e-07,-6.121273263180868e-07,1.4347436937708262e-06,-3.667515599925792e-09
1,81,40.5,0.37850467289719625,107.0,0.7071069560362104,0.0001581519163682858,-0.00021249810674620864,0.7071065567170024,-2.3095188155429424e-05,-7.564725244899449e-06,-2.0045600517910834e-07,-6.113647077034706e-07,1.4969629887914094e-06,-3.5641131583384957e-09
1,82,41.0,0.38317757009345793,107.0,0.7071069919703149,0.0001554065016318619,-0.0002179180560620012,0.7071065197419286,-2.4623597650115606e-05,-6.629123376712249e-06,-2.0962835120435282e-07,-6.05270915096128e-07,1.5592819709518716e-06,-3.5147059012718833e-09
1,83,41.5,0.3878504672897196,107.0,0.7071070296088057,0.0001522255075792948,-0.00022344279943795227,0.7071064810710573,-2.6136772853397746e-05,-5.654572144668935e-06,-2.1865996525797278e-07,-5.932537929870247e-07,1.621632631029338e-06,-3.559192030802568e-09
1,84,42.0,0.3925233644859813,107.0,0.7071070689257258,0.00014860474194132708,-0.0002290627584532159,0.7071064407259937,-2.7619905481243253e-05,-4.641051750071752e-06,-2.2777963373684173e-07,-5.747025155881523e-07,1.6839458565015722e-06,-2.8808554480481446e-09
1,85,42.5,0.397196261682243,107.0,0.7071071099347926,0.00014454262672312354,-0.00023476573341936908,0.7071063986883677,-2.9056660184529343e-05,-3.588585589549366e-06,-2.3517405047324978e-07,-5.489906113518157e-07,1.7461520278116797e-06,-1.1573980325313043e-09
1,86,43.0,0.40186915887850466,107.0,0.7071071523284308,0.00014004047567147106,-0.00024053664114184528,0.7071063552610096,-3.042913544701731e-05,-2.497240571953525e-06,-2.382239540226486e-07,-5.154804236159045e-07,1.8081807279280345e-06,7.384276073147365e-11
1,87,43.5,0.40654205607476634,107.0,0.7071071953353556,0.0001351027787730239,-0.00024635724577304883,0.7071063112106326,-3.171783561372534e-05,-1.3671276167807651e-06,-2.3815333042836146e-07,-4.735260680999183e-07,1.8699610946736504e-06,9.30351210930129e-10
1,88,44.0,0.411214953271028,107.0,0.7071072384000524,0.00012973749206699012,-0.0002522058846470351,0.7071062670886673,-3.290165029561835e-05,-1.9840193238826095e-07,-2.3589249589457646e-07,-4.224779549192215e-07,1.9314217972534467e-06,4.148891605913345e-09
1,89,44.5,0.4158878504672897,107.0,0.7071072811309764,0.0001239563309093278,-0.0002580571906756727,0.7071062232834346,-3.395784511273632e-05,1.0087366911198647e-06,-2.255300585061925e-07,-3.616892747126902e-07,1.9924918768931354e-06,6.209138626349694e-09
1,90,45.0,0.4205607476635514,107.0,0.7071073220912445,0.00011777506450106511,-0.0002638818133621682,0.7071061812298813,-3.486206864079075e-05,2.2540441144055357e-06,-2.099558301537575e-07,-2.905197757701054e-07,2.053100055378782e-06,8.364637154947852e-09
1,91,45.5,0.4252336448598131,107.0,0.7071073603546565,0.00011121381013959584,-0.0002696461404998139,0.7071061418540306,-3.558836879011225e-05,3.5372316492469454e-06,-1.889263663051855e-07,-2.0834271527037578e-07,2.1131753995133445e-06,1.0435135870930591e-08
1,92,46.0,0.42990654205607476,107.0,0.707107394952014,0.00010429732385648217,-0.0002753120231872936,0.707106106127184,-3.610922658072377e-05,4.857966274174111e-06,-1.6264970017092457e-07,-1.1455111945493487e-07,2.172647325170785e-06,1.1489147048161382e-08
1,93,46.5,0.43457943925233644,107.0,0.7071074249511594,9.705528527510521e-05,-0.00028083650666298107,0.7071060749864325,-3.639560556460154e-05,6.215870852638254e-06,-1.3366370644286352e-07,-8.564848134756014e-09,2.231445920225449e-06,1.4305565443914894e-08
1,94,47.0,0.4392523364485981,107.0,0.7071074498690877,8.95225738273821e-05,-0.00028617156979485637,0.7071060489231159,-3.641701893121219e-05,7.610524553012038e-06,-9.756044725698595e-08,1.1016185162476203e-07,2.289501979988327e-06,1.7421942247829803e-08
1,95,47.5,0.4439252336448598,107.0,0.7071074684443533,8.17395323823313e-05,-0.00029126387658382597,0.7071060292109906,-3.61416154158975e-05,9.041463290737468e-06,-5.358986271177373e-08,2.421325956903901e-07,2.3467472544812596e-06,2.0883341318627966e-08
1,96,48.0,0.4485981308411215,107.0,0.7071074792839637,7.375221634532152e-05,-0.00029605454250584024,0.7071060172598865,-3.553628465348406e-05,1.0508180325020176e-05,-8.913497811270507e-10,3.878001398966897e-07,2.40311481319949e-06,2.195886079256743e-08
1,97,48.5,0.4532710280373832,107.0,0.7071074808440951,6.561262376780762e-05,-0.00030047891946951796,0.707106014635491,-3.4566784317806517e-05,1.2010127083500299e-05,5.4565934731692814e-08,5.475583384964153e-07,2.4585389482061747e-06,2.2549385323848723e-08
1,98,49.0,0.45794392523364486,107.0,0.7071074726376686,5.73789033567838e-05,-0.0003044664029880123,0.7071060218521897,-3.319788748856208e-05,1.3546713926357412e-05,1.1156212525047927e-07,7.217326129708264e-07,2.5129556868822275e-06,2.320664253876165e-08
1,99,49.5,0.46261682242990654,107.0,0.7071074543949781,4.91155354448628e-05,-0.00030794026548849326,0.7071060392127343,-3.139355368919454e-05,1.5117311230884141e-05,1.7025331502478584e-07,9.105704966786988e-07,2.566303097894223e-06,2.441900254891418e-08
1,100,50.0,0.4672897196261682,107.0,0.7071074258205833,4.089348277188467e-05,-0.00031081751958488983,0.7071060670514773,-2.911712358684625e-05,1.672125066728969e-05,2.3201270058000626e-07,1.1142320764387895e-06,2.6185215568462997e-06,2.624715541145915e-08
1,101,50.5,0.4719626168224299,107.0,0.7071073863781966,3.2790306629456414e-05,-0.00031300881553002284,0.7071061059493937,-2.6331537576439312e-05,1.8357826640535825e-05,2.9836090119233807e-07,1.3327802016433137e-06,2.669553867260305e-06,2.8027450929103407e-08
1,102,51.0,0.4766355140186916,107.0,0.7071073352645516,2.489024419044476e-05,-0.0003144183770341399,0.7071061567598457,-2.2999578856444773e-05,2.0026297807785435e-05,3.691546132183841e-07,1.5661706112643386e-06,2.7193454838496925e-06,2.9667946678841073e-08
1,103,51.5,0.48130841121495327,107.0,0.7071072717033304,1.728424274287375e-05,-0.0003149439797724428,0.7071062203139505,-1.9084141239080014e-05,2.172588873539729e-05,4.4401537453912676e-07,1.8142418866130554e-06,2.767844593246396e-06,3.110354920511258e-08
