phase,node,time,tau,T_i,px,py,pz,vx,vy,vz,Fx,Fy,Fz
1,0,0.0,0.0,299.979,10.0,-35.0,5.0,0.0,0.0,0.0,-0.00219539,-0.031217,0.0265945
1,1,4.99965,0.016666666666666666,299.979,9.99756,-35.039,5.03316,-0.00100578,-0.0156021,0.0132668,-0.00260024,-0.025717,0.0258269
1,2,9.99929,0.03333333333333333,299.979,9.98918,-35.1491,5.1317,-0.0023683,-0.0284415,0.0261495,-0.00293275,-0.0207615,0.0250841
1,3,14.9989,0.05,299.979,9.97325,-35.3172,5.29371,-0.00402302,-0.038787,0.03866,-0.00319972,-0.0163267,0.0243655
1,4,19.9986,0.06666666666666667,299.979,9.94845,-35.5314,5.51737,-0.00591166,-0.0468959,0.0508101,-0.00340782,-0.0123823,0.02367
1,5,24.9982,0.08333333333333333,299.979,9.91375,-35.7811,5.80091,-0.00798201,-0.0530113,0.062611,-0.00356351,-0.00889369,0.0229966
1,6,29.9979,0.1,299.979,9.86835,-36.0571,6.14259,-0.0101876,-0.0573594,0.0740734,-0.00367285,-0.00582451,0.0223442
1,7,34.9975,0.11666666666666667,299.979,9.81168,-36.3508,6.54077,-0.0124876,-0.0601485,0.0852074,-0.0037415,-0.00313801,0.0217118
1,8,39.9972,0.13333333333333333,299.979,9.74335,-36.6551,6.99381,-0.0148457,-0.0615691,0.0960228,-0.00377466,-0.000798368,0.0210982
1,9,44.9968,0.15,299.979,9.66317,-36.9635,7.50016,-0.0172307,-0.0617944,0.106529,-0.00377708,0.00122858,0.0205023
1,10,49.9965,0.16666666666666666,299.979,9.57106,-37.2704,8.05827,-0.0196152,-0.0609803,0.116733,-0.00375304,0.00297492,0.0199231
1,11,54.9961,0.18333333333333332,299.979,9.46708,-37.571,8.66668,-0.0219758,-0.0592673,0.126645,-0.0037064,0.00447041,0.0193594
1,12,59.9958,0.2,299.979,9.35141,-37.8611,9.32392,-0.0242921,-0.0567814,0.136271,-0.0036406,0.0057424,0.0188104
1,13,64.9954,0.21666666666666667,299.979,9.22431,-38.1372,10.0286,-0.0265472,-0.0536346,0.145619,-0.00355872,0.00681589,0.018275
1,14,69.9951,0.23333333333333334,299.979,9.08612,-38.3961,10.7793,-0.0287265,-0.0499271,0.154694,-0.00346347,0.00771355,0.0177523
1,15,74.9947,0.25,299.979,8.93725,-38.6353,11.5748,-0.030818,-0.0457477,0.163504,-0.00335726,0.0084559,0.0172414
1,16,79.9943,0.26666666666666666,299.979,8.77817,-38.8526,12.4136,-0.0328116,-0.0411749,0.172054,-0.00324222,0.0090614,0.0167416
1,17,84.994,0.2833333333333333,299.979,8.60938,-39.0462,13.2946,-0.0346992,-0.0362783,0.180348,-0.0031202,0.0095466,0.0162519
1,18,89.9936,0.3,299.979,8.43144,-39.2147,14.2163,-0.0364743,-0.0311193,0.188393,-0.00299282,0.00992631,0.0157717
1,19,94.9933,0.31666666666666665,299.979,8.24491,-39.3568,15.1777,-0.0381319,-0.0257519,0.196192,-0.00286152,0.0102137,0.0153003
1,20,99.9929,0.3333333333333333,299.979,8.0504,-39.4718,16.1775,-0.0396681,-0.0202234,0.203749,-0.00272752,0.0104205,0.0148369
1,21,104.993,0.35,299.979,7.84852,-39.5588,17.2145,-0.0410802,-0.0145756,0.211069,-0.00259191,0.0105569,0.0143811
1,22,109.992,0.36666666666666664,299.979,7.6399,-39.6173,18.2875,-0.0423664,-0.0088449,0.218154,-0.00245559,0.0106321,0.0139322
1,23,114.992,0.38333333333333336,299.979,7.42516,-39.6471,19.3953,-0.0435258,-0.00306338,0.225009,-0.00231938,0.0106539,0.0134897
1,24,119.992,0.4,299.979,7.20494,-39.6479,20.5369,-0.044558,0.00274092,0.231636,-0.00218395,0.0106291,0.0130531
