phase,node,time,tau,T_i,px,py,pz,vx,vy,vz,Fx,Fy,Fz
1,0,0.0,0.0,76.1236,10.0,-35.0,5.0,0.0,0.0,0.0,-0.0729479,0.0209779,0.546333
1,1,1.26873,0.016666666666666666,76.1236,9.99416,-34.9983,5.04397,-0.00920664,0.00267419,0.0693072,-0.0750342,0.0373303,0.522287
1,2,2.53745,0.03333333333333333,76.1236,9.97647,-34.9919,5.17393,-0.0186678,0.00744875,0.135564,-0.0843653,0.0609583,0.488386
1,3,3.80618,0.05,76.1236,9.94605,-34.9775,5.38522,-0.0292956,0.0152487,0.197519,-0.0790777,0.0691134,0.47597
1,4,5.07491,0.06666666666666667,76.1236,9.90257,-34.9525,5.67412,-0.0392298,0.0241116,0.257898,-0.0770843,0.0734414,0.456838
1,5,6.34363,0.08333333333333333,76.1236,9.84667,-34.916,6.03809,-0.0488861,0.0335506,0.315849,-0.0748676,0.0766148,0.437044
1,6,7.61236,0.1,76.1236,9.77872,-34.8671,6.47398,-0.0582349,0.0434184,0.371289,-0.0724398,0.0788963,0.417063
1,7,8.88109,0.11666666666666667,76.1236,9.69911,-34.8056,6.97861,-0.0672484,0.0536008,0.424193,-0.0698806,0.0805143,0.397062
1,8,10.1498,0.13333333333333333,76.1236,9.6083,-34.731,7.54874,-0.0759092,0.0640129,0.474558,-0.06725,0.0816263,0.37713
1,9,11.4185,0.15,76.1236,9.50672,-34.6431,8.18117,-0.0842079,0.0745894,0.522394,-0.0645863,0.0823309,0.357324
1,10,12.6873,0.16666666666666666,76.1236,9.39485,-34.5416,8.8727,-0.0921398,0.0852777,0.567716,-0.0619109,0.0826849,0.337681
1,11,13.956,0.18333333333333332,76.1236,9.27315,-34.4266,9.62014,-0.0997033,0.0960322,0.610545,-0.0592335,0.0827153,0.318231
1,12,15.2247,0.2,76.1236,9.14208,-34.298,10.4204,-0.106898,0.106811,0.650905,-0.0565548,0.0824271,0.298989
1,13,16.4934,0.21666666666666667,76.1236,9.00213,-34.1556,11.2702,-0.113724,0.117572,0.688822,-0.0538684,0.0818075,0.279963
1,14,17.7622,0.23333333333333334,76.1236,8.85374,-33.9997,12.1667,-0.12018,0.128273,0.724324,-0.0511629,0.0808298,0.261146
1,15,19.0309,0.25,76.1236,8.69741,-33.8302,13.1067,-0.126264,0.138867,0.757438,-0.0484226,0.0794555,0.242523
1,16,20.2996,0.26666666666666666,76.1236,8.53359,-33.6474,14.0871,-0.131972,0.149304,0.788187,-0.04563,0.0776396,0.224067
1,17,21.5684,0.2833333333333333,76.1236,8.36277,-33.4515,15.1052,-0.137299,0.159525,0.816593,-0.042769,0.0753371,0.205742
1,18,22.8371,0.3,76.1236,8.18544,-33.2428,16.1577,-0.142235,0.169467,0.842673,-0.0398291,0.0725129,0.187512
1,19,24.1058,0.31666666666666665,76.1236,8.0021,-33.0217,17.2419,-0.146773,0.179065,0.866438,-0.0368093,0.0691528,0.169347
1,20,25.3745,0.3333333333333333,76.1236,7.81326,-32.7887,18.3548,-0.150902,0.188248,0.887897,-0.0337209,0.0652704,0.151232
1,21,26.6433,0.35,76.1236,7.61945,-32.5443,19.4935,-0.154615,0.19695,0.907056,-0.0305864,0.0609082,0.133174
1,22,27.912,0.36666666666666664,76.1236,7.4212,-32.2893,20.655,-0.157909,0.205108,0.923922,-0.0274354,0.0561281,0.115203
