time,wx,wy,wz,qw,qx,qy,qz,angle_to_exclusion,angle_to_los,angle_to_docking,phase
322.5,2.07532e-05,0.00992048,0.0024668,0.19941,-0.155418,-0.654934,0.71214,94.6138,5.85001,86.4112,2
323,2.24022e-05,0.00995482,0.00225698,0.200596,-0.157586,-0.654337,0.711878,94.5524,5.82346,86.376,2
323.5,2.29884e-05,0.0099888,0.0020489,0.201823,-0.159725,-0.653743,0.711601,94.4963,5.80021,86.3435,2
324,2.25251e-05,0.0100224,0.00184254,0.203091,-0.161836,-0.653151,0.711307,94.4457,5.77998,86.3136,2
324.5,2.10272e-05,0.0100557,0.00163794,0.2044,-0.163917,-0.652562,0.710996,94.4002,5.76255,86.2865,2
325,1.85109e-05,0.0100887,0.00143513,0.20575,-0.16597,-0.651975,0.710669,94.36,5.74766,86.2621,2
325.5,1.49939e-05,0.0101214,0.00123419,0.207139,-0.167995,-0.651391,0.710325,94.3249,5.7351,86.2406,2
326,1.04953e-05,0.0101538,0.00103523,0.208568,-0.169992,-0.65081,0.709964,94.2947,5.72465,86.222,2
326.5,5.03552e-06,0.010186,0.000838377,0.210036,-0.171962,-0.650233,0.709585,94.2695,5.71613,86.2063,2
327,-1.3638e-06,0.0102179,0.000643777,0.211543,-0.173904,-0.649659,0.70919,94.249,5.70936,86.1936,2
327.5,-8.67966e-06,0.0102497,0.000451615,0.213087,-0.17582,-0.649089,0.708777,94.2333,5.70416,86.1838,2
328,-1.68879e-05,0.0102812,0.000262094,0.21467,-0.177709,-0.648522,0.708347,94.2222,5.7004,86.1771,2
328.5,-2.59633e-05,0.0103125,7.54404e-05,0.216289,-0.179572,-0.647959,0.707899,94.2156,5.69794,86.1735,2
329,-3.58794e-05,0.0103437,-0.000108098,0.217944,-0.18141,-0.647401,0.707434,94.2134,5.69666,86.1729,2
329.5,-4.66087e-05,0.0103747,-0.000288255,0.219635,-0.183224,-0.646846,0.706951,94.2154,5.69646,86.1755,2
330,-5.81228e-05,0.0104056,-0.000464748,0.221361,-0.185013,-0.646296,0.70645,94.2216,5.69724,86.1812,2
330.5,-7.03922e-05,0.0104364,-0.000637277,0.22312,-0.186778,-0.64575,0.705931,94.2318,5.69892,86.1899,2
331,-8.33868e-05,0.0104671,-0.000805531,0.224914,-0.18852,-0.645208,0.705394,94.2459,5.70145,86.2018,2
331.5,-9.70755e-05,0.0104977,-0.000969188,0.226739,-0.19024,-0.644669,0.70484,94.2636,5.70475,86.2168,2
332,-0.000111426,0.0105282,-0.00112792,0.228597,-0.191939,-0.644135,0.704268,94.285,5.7088,86.2349,2
332.5,-0.000126407,0.0105587,-0.00128139,0.230484,-0.193616,-0.643605,0.703677,94.3098,5.71355,86.256,2
333,-0.000141984,0.0105891,-0.00142927,0.232402,-0.195274,-0.643079,0.70307,94.3378,5.71898,86.2801,2
333.5,-0.000158124,0.0106195,-0.00157121,0.234348,-0.196913,-0.642556,0.702444,94.3689,5.72507,86.3073,2
334,-0.000174793,0.0106499,-0.00170689,0.236321,-0.198534,-0.642037,0.701802,94.4028,5.73179,86.3373,2
334.5,-0.000191957,0.0106803,-0.00183599,0.23832,-0.200138,-0.64152,0.701142,94.4395,5.73916,86.3702,2
335,-0.00020958,0.0107107,-0.00195818,0.240345,-0.201727,-0.641007,0.700464,94.4787,5.74715,86.4059,2
335.5,-0.000227628,0.0107412,-0.00207317,0.242392,-0.2033,-0.640497,0.69977,94.5203,5.75576,86.4443,2
336,-0.000246066,0.0107717,-0.00218066,0.244463,-0.20486,-0.639989,0.69906,94.5639,5.76499,86.4853,2
336.5,-0.000264859,0.0108022,-0.00228039,0.246554,-0.206408,-0.639483,0.698333,94.6095,5.77483,86.5288,2
337,-0.000283971,0.0108328,-0.00237211,0.248664,-0.207945,-0.638978,0.69759,94.6567,5.78527,86.5748,2
337.5,-0.000303369,0.0108635,-0.0024556,0.250792,-0.209472,-0.638475,0.696831,94.7055,5.7963,86.623,2
338,-0.000323018,0.0108942,-0.00253065,0.252937,-0.210991,-0.637973,0.696057,94.7555,5.80791,86.6735,2
338.5,-0.000342883,0.0109251,-0.0025971,0.255097,-0.212503,-0.637471,0.695268,94.8066,5.82008,86.726,2
339,-0.000362931,0.0109561,-0.00265479,0.257271,-0.214009,-0.63697,0.694465,94.8586,5.83278,86.7804,2
339.5,-0.000383128,0.0109872,-0.00270363,0.259456,-0.215511,-0.636468,0.693647,94.9111,5.84597,86.8366,2
340,-0.000403444,0.0110184,-0.00274353,0.261651,-0.21701,-0.635964,0.692816,94.9641,5.85962,86.8944,2
340.5,-0.000423844,0.0110498,-0.00277445,0.263855,-0.218508,-0.63546,0.691972,95.0172,5.87367,86.9537,2
341,-0.0004443,0.0110814,-0.00279639,0.266066,-0.220005,-0.634953,0.691115,95.0703,5.88806,87.0143,2
341.5,-0.00046478,0.0111131,-0.00280936,0.268283,-0.221505,-0.634444,0.690247,95.1232,5.90274,87.0761,2
342,-0.000485256,0.011145,-0.00281344,0.270504,-0.223007,-0.633932,0.689366,95.1756,5.91763,87.1388,2
342.5,-0.0005057,0.0111771,-0.00280872,0.272727,-0.224514,-0.633416,0.688475,95.2274,5.93265,87.2024,2
343,-0.000526085,0.0112094,-0.00279535,0.27495,-0.226027,-0.632896,0.687573,95.2784,5.9477,87.2666,2
343.5,-0.000546385,0.0112419,-0.00277349,0.277174,-0.227546,-0.632371,0.686661,95.3282,5.96271,87.3312,2
344,-0.000566576,0.0112746,-0.00274336,0.279395,-0.229075,-0.631841,0.68574,95.3769,5.97756,87.3961,2
344.5,-0.000586635,0.0113076,-0.0027052,0.281612,-0.230613,-0.631305,0.684811,95.4242,5.99215,87.4612,2
345,-0.00060654,0.0113408,-0.00265928,0.283825,-0.232162,-0.630763,0.683873,95.4699,6.00638,87.5262,2
345.5,-0.00062627,0.0113742,-0.00260593,0.286032,-0.233724,-0.630214,0.682927,95.5138,6.02013,87.591,2
346,-0.000645808,0.0114079,-0.00254548,0.288231,-0.235299,-0.629657,0.681975,95.5559,6.03328,87.6553,2
346.5,-0.000665135,0.0114419,-0.0024783,0.290421,-0.236888,-0.629092,0.681016,95.596,6.04573,87.7192,2
347,-0.000684237,0.0114761,-0.00240479,0.292602,-0.238494,-0.628519,0.680051,95.634,6.05737,87.7823,2
347.5,-0.000703097,0.0115106,-0.00232537,0.294772,-0.240116,-0.627936,0.67908,95.6696,6.06807,87.8445,2
348,-0.000721704,0.0115454,-0.0022405,0.29693,-0.241756,-0.627344,0.678105,95.703,6.07773,87.9057,2
348.5,-0.000740046,0.0115805,-0.00215064,0.299076,-0.243414,-0.626742,0.677124,95.7338,6.08625,87.9658,2
349,-0.000758113,0.0116158,-0.00205628,0.301208,-0.245092,-0.62613,0.67614,95.7621,6.09352,88.0246,2
349.5,-0.000775898,0.0116515,-0.00195793,0.303326,-0.24679,-0.625506,0.675152,95.7879,6.09945,88.082,2
350,-0.000793393,0.0116874,-0.00185609,0.30543,-0.248508,-0.624872,0.67416,95.8109,6.10396,88.1378,2
350.5,-0.000810593,0.0117237,-0.00175131,0.307518,-0.250247,-0.624226,0.673165,95.8312,6.10696,88.192,2
351,-0.000827494,0.0117602,-0.00164412,0.30959,-0.252008,-0.623568,0.672168,95.8488,6.10838,88.2445,2
351.5,-0.000844094,0.011797,-0.00153507,0.311646,-0.253791,-0.622897,0.671168,95.8637,6.10817,88.2951,2
352,-0.000860393,0.0118341,-0.0014247,0.313686,-0.255596,-0.622214,0.670165,95.8757,6.10626,88.3439,2
352.5,-0.00087639,0.0118715,-0.00131357,0.315709,-0.257423,-0.621519,0.66916,95.885,6.10261,88.3906,2
353,-0.000892087,0.0119092,-0.00120222,0.317715,-0.259273,-0.62081,0.668154,95.8916,6.09719,88.4354,2
353.5,-0.000907487,0.0119472,-0.00109121,0.319705,-0.261146,-0.620088,0.667145,95.8954,6.08999,88.4782,2
354,-0.000922596,0.0119854,-0.000981069,0.321679,-0.263041,-0.619353,0.666134,95.8965,6.08097,88.5188,2
354.5,-0.000937417,0.0120238,-0.000872338,0.323636,-0.264958,-0.618605,0.665121,95.895,6.07016,88.5573,2
355,-0.000951958,0.0120625,-0.000765537,0.325577,-0.266897,-0.617843,0.664106,95.8909,6.05755,88.5938,2
355.5,-0.000966226,0.0121015,-0.000661176,0.327502,-0.268857,-0.617067,0.663089,95.8843,6.04316,88.6281,2
356,-0.00098023,0.0121407,-0.000559754,0.329412,-0.270839,-0.616278,0.662069,95.8752,6.02703,88.6604,2
356.5,-0.00099398,0.0121801,-0.00046175,0.331307,-0.272842,-0.615476,0.661047,95.8638,6.00919,88.6906,2
357,-0.00100749,0.0122196,-0.000367628,0.333188,-0.274865,-0.61466,0.660022,95.8501,5.98968,88.7189,2
357.5,-0.00102076,0.0122594,-0.000277832,0.335056,-0.276907,-0.61383,0.658993,95.8342,5.96857,88.7451,2
358,-0.00103381,0.0122993,-0.000192784,0.33691,-0.278969,-0.612988,0.657962,95.8163,5.94592,88.7695,2
358.5,-0.00104666,0.0123394,-0.000112884,0.338753,-0.281048,-0.612133,0.656926,95.7964,5.9218,88.7921,2
359,-0.00105931,0.0123795,-3.85108e-05,0.340585,-0.283144,-0.611265,0.655886,95.7747,5.89628,88.813,2
359.5,-0.00107178,0.0124198,2.99853e-05,0.342406,-0.285257,-0.610384,0.654842,95.7513,5.86945,88.8323,2
360,-0.00108409,0.0124602,9.2278e-05,0.344219,-0.287385,-0.609491,0.653792,95.7263,5.84139,88.8501,2
360.5,-0.00109625,0.0125006,0.000148068,0.346023,-0.289528,-0.608587,0.652736,95.6999,5.8122,88.8665,2
361,-0.00110827,0.012541,0.000197084,0.347819,-0.291684,-0.60767,0.651674,95.6721,5.78196,88.8817,2
361.5,-0.00112017,0.0125814,0.000239084,0.34961,-0.293852,-0.606743,0.650605,95.6431,5.75078,88.8957,2
362,-0.00113197,0.0126219,0.000273853,0.351395,-0.296031,-0.605805,0.649529,95.613,5.71875,88.9088,2
362.5,-0.00114368,0.0126622,0.000301208,0.353177,-0.29822,-0.604857,0.648444,95.582,5.68596,88.9211,2
363,-0.00115532,0.0127025,0.000320994,0.354956,-0.300418,-0.603899,0.64735,95.5502,5.65251,88.9328,2
363.5,-0.00116691,0.0127427,0.000333087,0.356733,-0.302623,-0.602931,0.646247,95.5177,5.61851,88.9439,2
364,-0.00117846,0.0127827,0.000337394,0.35851,-0.304834,-0.601955,0.645133,95.4847,5.58403,88.9548,2
364.5,-0.00118999,0.0128226,0.000333852,0.360287,-0.307051,-0.600971,0.644009,95.4513,5.54918,88.9655,2
365,-0.00120151,0.0128623,0.000322428,0.362067,-0.309271,-0.599978,0.642872,95.4176,5.51404,88.9762,2
365.5,-0.00121304,0.0129018,0.000303121,0.36385,-0.311494,-0.598979,0.641724,95.3837,5.47869,88.9873,2
366,-0.00122459,0.012941,0.000275959,0.365636,-0.313717,-0.597974,0.640561,95.3498,5.44323,88.9987,2
366.5,-0.00123619,0.0129799,0.000241001,0.367429,-0.315941,-0.596962,0.639385,95.3159,5.40771,89.0107,2
367,-0.00124784,0.0130185,0.000198333,0.369228,-0.318164,-0.595945,0.638194,95.2822,5.37222,89.0236,2
367.5,-0.00125957,0.0130567,0.000148073,0.371035,-0.320384,-0.594923,0.636988,95.2488,5.33683,89.0375,2
368,-0.00127138,0.0130946,9.0366e-05,0.37285,-0.3226,-0.593898,0.635765,95.2158,5.3016,89.0525,2
368.5,-0.00128328,0.013132,2.5386e-05,0.374675,-0.324812,-0.592869,0.634525,95.1832,5.26659,89.0689,2
369,-0.0012953,0.013169,-4.66665e-05,0.376511,-0.327017,-0.591837,0.633267,95.1511,5.23186,89.0869,2
369.5,-0.00130743,0.0132056,-0.000125564,0.378359,-0.329215,-0.590803,0.631991,95.1197,5.19747,89.1066,2
370,-0.0013197,0.0132416,-0.000211054,0.38022,-0.331405,-0.589768,0.630696,95.089,5.16347,89.1283,2
370.5,-0.00133212,0.0132771,-0.000302859,0.382094,-0.333585,-0.588731,0.629381,95.059,5.12991,89.1521,2
371,-0.00134469,0.0133121,-0.000400676,0.383983,-0.335755,-0.587695,0.628045,95.0298,5.09685,89.1781,2
371.5,-0.00135742,0.0133465,-0.000504182,0.385887,-0.337914,-0.586658,0.626688,95.0015,5.06432,89.2066,2
372,-0.00137032,0.0133802,-0.00061303,0.387806,-0.34006,-0.585623,0.625309,94.974,5.0324,89.2376,2
372.5,-0.00138339,0.0134133,-0.000726852,0.389742,-0.342193,-0.584588,0.623908,94.9475,5.00112,89.2715,2
373,-0.00139665,0.0134457,-0.000845262,0.391695,-0.344312,-0.583556,0.622484,94.9219,4.97054,89.3082,2
373.5,-0.00141009,0.0134775,-0.000967855,0.393666,-0.346415,-0.582526,0.621037,94.8973,4.94073,89.3479,2
374,-0.00142372,0.0135085,-0.00109421,0.395655,-0.348504,-0.581499,0.619565,94.8736,4.91174,89.3908,2
374.5,-0.00143754,0.0135388,-0.00122388,0.397661,-0.350576,-0.580476,0.61807,94.8509,4.88366,89.4369,2
375,-0.00145156,0.0135684,-0.00135643,0.399687,-0.352631,-0.579456,0.616549,94.8292,4.85654,89.4864,2
375.5,-0.00146576,0.0135972,-0.00149137,0.401731,-0.354669,-0.57844,0.615004,94.8084,4.83047,89.5394,2
376,-0.00148015,0.0136252,-0.00162824,0.403795,-0.356689,-0.577428,0.613433,94.7884,4.80555,89.5959,2
376.5,-0.00149472,0.0136523,-0.00176655,0.405877,-0.358691,-0.576422,0.611836,94.7694,4.78186,89.656,2
377,-0.00150947,0.0136787,-0.00190579,0.407978,-0.360674,-0.57542,0.610213,94.7512,4.75951,89.7197,2
377.5,-0.00152439,0.0137043,-0.00204547,0.410098,-0.362638,-0.574423,0.608565,94.7338,4.7386,89.7871,2
378,-0.00153948,0.013729,-0.00218506,0.412236,-0.364584,-0.573432,0.60689,94.7171,4.71926,89.8583,2
378.5,-0.00155472,0.0137528,-0.00232405,0.414393,-0.36651,-0.572447,0.605189,94.7011,4.70159,89.9332,2
379,-0.00157011,0.0137758,-0.00246193,0.416568,-0.368417,-0.571467,0.603462,94.6857,4.68574,90.0118,2
379.5,-0.00158563,0.0137979,-0.00259817,0.41876,-0.370304,-0.570492,0.601709,94.6709,4.67183,90.0941,2
380,-0.00160126,0.0138192,-0.00273223,0.420969,-0.372173,-0.569523,0.59993,94.6565,4.66,90.1801,2
380.5,-0.001617,0.0138397,-0.00286362,0.423195,-0.374023,-0.568559,0.598124,94.6425,4.65037,90.2697,2
381,-0.00163282,0.0138592,-0.00299179,0.425437,-0.375854,-0.567601,0.596294,94.6288,4.64308,90.363,2
381.5,-0.0016487,0.013878,-0.00311624,0.427693,-0.377667,-0.566648,0.594438,94.6153,4.63827,90.4597,2
382,-0.00166463,0.0138959,-0.00323645,0.429964,-0.379462,-0.5657,0.592557,94.602,4.63606,90.5598,2
382.5,-0.00168059,0.0139129,-0.00335192,0.432248,-0.381239,-0.564756,0.590652,94.5887,4.63655,90.6632,2
383,-0.00169654,0.0139291,-0.00346216,0.434544,-0.382999,-0.563817,0.588722,94.5753,4.63987,90.7698,2
383.5,-0.00171248,0.0139446,-0.00356667,0.436852,-0.384743,-0.562881,0.586769,94.5618,4.64611,90.8794,2
384,-0.00172836,0.0139592,-0.00366497,0.43917,-0.386471,-0.561949,0.584794,94.548,4.65533,90.992,2
384.5,-0.00174417,0.0139731,-0.00375662,0.441497,-0.388184,-0.561019,0.582796,94.5338,4.6676,91.1072,2
385,-0.00175988,0.0139862,-0.00384114,0.443832,-0.389883,-0.560092,0.580777,94.5192,4.68297,91.225,2
385.5,-0.00177545,0.0139986,-0.00391812,0.446173,-0.391569,-0.559166,0.578737,94.5041,4.70144,91.3451,2
386,-0.00179086,0.0140103,-0.00398712,0.44852,-0.393242,-0.558241,0.576678,94.4883,4.723,91.4673,2
386.5,-0.00180608,0.0140213,-0.00404775,0.450871,-0.394903,-0.557317,0.5746,94.4718,4.74764,91.5915,2
387,-0.00182106,0.0140317,-0.00409963,0.453225,-0.396554,-0.556392,0.572504,94.4544,4.77527,91.7173,2
387.5,-0.00183578,0.0140414,-0.00414238,0.45558,-0.398196,-0.555465,0.570391,94.4362,4.80582,91.8446,2
388,-0.00185021,0.0140506,-0.00417568,0.457934,-0.39983,-0.554536,0.568262,94.4169,4.83917,91.973,2
388.5,-0.00186431,0.0140592,-0.0041992,0.460287,-0.401456,-0.553604,0.566119,94.3966,4.87518,92.1023,2
389,-0.00187803,0.0140674,-0.00421264,0.462637,-0.403076,-0.552668,0.563963,94.3751,4.91367,92.2322,2
389.5,-0.00189135,0.014075,-0.00421574,0.464982,-0.404692,-0.551726,0.561795,94.3524,4.95444,92.3625,2
390,-0.00190423,0.0140822,-0.00420825,0.467321,-0.406304,-0.550778,0.559616,94.3285,4.99729,92.4927,2
390.5,-0.00191663,0.0140891,-0.00418995,0.469653,-0.407915,-0.549823,0.557428,94.3031,5.04195,92.6227,2
391,-0.0019285,0.0140955,-0.00416066,0.471974,-0.409525,-0.54886,0.555232,94.2764,5.08816,92.752,2
391.5,-0.00193981,0.0141017,-0.00412021,0.474285,-0.411135,-0.547886,0.55303,94.2482,5.13564,92.8804,2
392,-0.00195053,0.0141075,-0.00406846,0.476584,-0.412747,-0.546902,0.550822,94.2186,5.18408,93.0076,2
392.5,-0.0019606,0.0141132,-0.00400533,0.478868,-0.414363,-0.545906,0.548612,94.1874,5.23315,93.1332,2
393,-0.00196999,0.0141186,-0.00393075,0.481137,-0.415984,-0.544897,0.546399,94.1547,5.28253,93.2568,2
393.5,-0.00197866,0.0141239,-0.00384466,0.48339,-0.417612,-0.543872,0.544186,94.1204,5.33187,93.3781,2
394,-0.00198656,0.0141291,-0.00374707,0.485623,-0.419247,-0.542833,0.541974,94.0846,5.38082,93.4969,2
394.5,-0.00199366,0.0141343,-0.00363802,0.487837,-0.420891,-0.541775,0.539765,94.0472,5.429,93.6126,2
395,-0.00199992,0.0141394,-0.00351755,0.490029,-0.422546,-0.5407,0.53756,94.0082,5.47607,93.7251,2
395.5,-0.00200528,0.0141445,-0.00338576,0.492198,-0.424212,-0.539604,0.535361,93.9677,5.52165,93.8339,2
396,-0.00200973,0.0141497,-0.0032428,0.494344,-0.425893,-0.538488,0.533171,93.9257,5.56537,93.9387,2
396.5,-0.0020132,0.014155,-0.00308881,0.496463,-0.427588,-0.537348,0.530989,93.8823,5.60687,94.0392,2
397,-0.00201567,0.0141604,-0.002924,0.498556,-0.429299,-0.536185,0.528819,93.8374,5.64578,94.135,2
397.5,-0.00201708,0.014166,-0.0027486,0.500621,-0.431027,-0.534997,0.526661,93.7911,5.68175,94.2258,2
398,-0.00201741,0.0141717,-0.00256288,0.502657,-0.432774,-0.533782,0.524517,93.7435,5.71443,94.3114,2
398.5,-0.00201661,0.0141777,-0.00236715,0.504663,-0.434541,-0.53254,0.522389,93.6947,5.74348,94.3913,2
399,-0.00201465,0.0141839,-0.00216173,0.506637,-0.436329,-0.531268,0.520278,93.6447,5.76856,94.4653,2
399.5,-0.00201148,0.0141904,-0.00194699,0.508579,-0.438139,-0.529966,0.518186,93.5936,5.78935,94.533,2
400,-0.00200708,0.0141973,-0.00172333,0.510488,-0.439973,-0.528632,0.516114,93.5416,5.80555,94.5943,2
400.5,-0.00200139,0.0142044,-0.00149118,0.512362,-0.44183,-0.527265,0.514064,93.4887,5.81687,94.6488,2
401,-0.0019944,0.0142118,-0.00125101,0.514202,-0.443712,-0.525864,0.512037,93.435,5.82302,94.6963,2
401.5,-0.00198605,0.0142196,-0.00100331,0.516006,-0.445621,-0.524428,0.510034,93.3807,5.82375,94.7365,2
402,-0.00197633,0.0142278,-0.000748588,0.517774,-0.447556,-0.522955,0.508057,93.3258,5.81881,94.7693,2
402.5,-0.00196519,0.0142363,-0.000487396,0.519504,-0.449518,-0.521445,0.506107,93.2706,5.80798,94.7944,2
403,-0.00195261,0.0142452,-0.000220304,0.521198,-0.451508,-0.519896,0.504184,93.2151,5.79106,94.8115,2
403.5,-0.00193856,0.0142545,5.20928e-05,0.522853,-0.453526,-0.518308,0.50229,93.1595,5.76787,94.8206,2
404,-0.00192301,0.0142642,0.000329178,0.52447,-0.455573,-0.516679,0.500427,93.104,5.73824,94.8215,2
404.5,-0.00190593,0.0142742,0.000610314,0.526049,-0.45765,-0.515008,0.498593,93.0486,5.70203,94.8141,2
405,-0.0018873,0.0142845,0.000894846,0.52759,-0.459755,-0.513295,0.496792,92.9936,5.65915,94.7982,2
405.5,-0.00186709,0.0142952,0.0011821,0.529091,-0.46189,-0.511539,0.495023,92.9391,5.6095,94.7737,2
406,-0.00184529,0.0143063,0.0014714,0.530554,-0.464054,-0.50974,0.493286,92.8853,5.55302,94.7406,2
406.5,-0.00182187,0.0143176,0.00176203,0.531978,-0.466248,-0.507896,0.491583,92.8323,5.48969,94.6988,2
407,-0.00179682,0.0143292,0.0020533,0.533364,-0.46847,-0.506007,0.489914,92.7803,5.41949,94.6483,2
407.5,-0.00177012,0.0143411,0.00234448,0.534711,-0.470721,-0.504072,0.488279,92.7295,5.34247,94.5891,2
408,-0.00174177,0.0143532,0.00263486,0.53602,-0.473001,-0.502092,0.486679,92.6801,5.25868,94.5212,2
408.5,-0.00171174,0.0143655,0.00292371,0.537291,-0.475308,-0.500066,0.485113,92.6321,5.16823,94.4446,2
409,-0.00168004,0.014378,0.0032103,0.538526,-0.477643,-0.497993,0.483581,92.5859,5.07124,94.3595,2
409.5,-0.00164665,0.0143906,0.00349392,0.539723,-0.480003,-0.495873,0.482084,92.5414,4.96788,94.2658,2
410,-0.00161159,0.0144033,0.00377384,0.540885,-0.48239,-0.493707,0.480621,92.499,4.85838,94.1637,2
410.5,-0.00157483,0.014416,0.00404936,0.542011,-0.484801,-0.491495,0.479192,92.4588,4.74298,94.0534,2
411,-0.0015364,0.0144287,0.00431976,0.543102,-0.487235,-0.489236,0.477797,92.4208,4.62201,93.935,2
411.5,-0.00149629,0.0144414,0.00458435,0.54416,-0.489692,-0.486931,0.476434,92.3854,4.49581,93.8086,2
412,-0.00145452,0.014454,0.00484245,0.545185,-0.49217,-0.48458,0.475104,92.3526,4.36482,93.6745,2
412.5,-0.00141109,0.0144664,0.0050934,0.546178,-0.494668,-0.482183,0.473806,92.3225,4.22953,93.5329,2
413,-0.00136603,0.0144787,0.00533655,0.54714,-0.497185,-0.479741,0.472539,92.2953,4.09049,93.384,2
413.5,-0.00131934,0.0144907,0.00557127,0.548072,-0.499719,-0.477255,0.471302,92.2711,3.94838,93.2281,2
414,-0.00127106,0.0145025,0.00579695,0.548976,-0.502268,-0.474726,0.470094,92.2501,3.80394,93.0655,2
414.5,-0.0012212,0.0145139,0.00601301,0.549852,-0.504831,-0.472153,0.468914,92.2323,3.65804,92.8964,2
415,-0.00116979,0.0145249,0.00621889,0.550702,-0.507406,-0.469539,0.467761,92.2179,3.5117,92.7213,2
415.5,-0.00111687,0.0145355,0.00641404,0.551527,-0.509991,-0.466883,0.466634,92.207,3.36609,92.5404,2
416,-0.00106246,0.0145456,0.00659797,0.552328,-0.512586,-0.464188,0.465531,92.1995,3.22255,92.354,2
416.5,-0.0010066,0.0145551,0.00677019,0.553108,-0.515187,-0.461454,0.464451,92.1957,3.08263,92.1626,2
417,-0.000949335,0.0145641,0.00693026,0.553867,-0.517793,-0.458682,0.463393,92.1956,2.94814,91.9665,2
417.5,-0.000890706,0.0145725,0.00707777,0.554606,-0.520402,-0.455875,0.462355,92.1992,2.82111,91.7662,2
418,-0.000830757,0.0145802,0.00721232,0.555329,-0.523012,-0.453033,0.461335,92.2065,2.70383,91.5619,2
418.5,-0.000769536,0.0145871,0.00733358,0.556035,-0.525622,-0.450158,0.460332,92.2177,2.5988,91.3542,2
419,-0.000707094,0.0145934,0.00744121,0.556727,-0.528228,-0.447251,0.459344,92.2326,2.50869,91.1435,2
419.5,-0.000643485,0.0145988,0.00753495,0.557406,-0.53083,-0.444315,0.458369,92.2514,2.43618,90.9302,2
420,-0.000578765,0.0146034,0.00761455,0.558074,-0.533425,-0.441351,0.457407,92.274,2.3838,90.7147,2
420.5,-0.000512992,0.0146072,0.0076798,0.558733,-0.536011,-0.43836,0.456454,92.3004,2.35368,90.4975,2
421,-0.000446227,0.0146101,0.00773052,0.559384,-0.538587,-0.435345,0.455509,92.3306,2.3473,90.2791,2
421.5,-0.000378532,0.0146121,0.00776659,0.560028,-0.54115,-0.432308,0.454571,92.3646,2.36532,90.0599,2
422,-0.000309973,0.0146132,0.0077879,0.560669,-0.543698,-0.429251,0.453636,92.4022,2.40748,89.8403,2
422.5,-0.000240616,0.0146134,0.00779439,0.561307,-0.54623,-0.426176,0.452704,92.4434,2.47267,89.6209,2
423,-0.000170529,0.0146126,0.00778605,0.561944,-0.548743,-0.423084,0.451773,92.4882,2.5591,89.402,2
423.5,-9.97829e-05,0.0146109,0.00776289,0.562582,-0.551236,-0.419979,0.45084,92.5364,2.66452,89.1842,2
424,-2.84475e-05,0.0146082,0.00772495,0.563223,-0.553708,-0.416862,0.449904,92.588,2.78645,88.9679,2
424.5,4.34044e-05,0.0146046,0.00767234,0.563868,-0.556155,-0.413735,0.448963,92.6428,2.92237,88.7536,2
425,0.000115699,0.0146,0.00760517,0.564518,-0.558577,-0.410602,0.448015,92.7008,3.06989,88.5416,2
425.5,0.000188364,0.0145944,0.0075236,0.565177,-0.560972,-0.407463,0.447057,92.7617,3.22676,88.3325,2
426,0.000261322,0.014588,0.00742785,0.565844,-0.563338,-0.404321,0.446089,92.8255,3.39099,88.1267,2
426.5,0.0003345,0.0145806,0.00731813,0.566522,-0.565674,-0.401179,0.445108,92.8921,3.56076,87.9245,2
427,0.000407822,0.0145723,0.00719473,0.567213,-0.567978,-0.398038,0.444112,92.9611,3.73449,87.7265,2
427.5,0.000481213,0.0145631,0.00705794,0.567917,-0.57025,-0.394902,0.4431,93.0326,3.91079,87.5329,2
428,0.000554596,0.0145531,0.0069081,0.568637,-0.572487,-0.391771,0.44207,93.1062,4.08843,87.3443,2
428.5,0.000627898,0.0145423,0.00674558,0.569374,-0.574688,-0.388649,0.44102,93.1819,4.2663,87.161,2
429,0.000701044,0.0145307,0.00657078,0.570129,-0.576853,-0.385538,0.439948,93.2594,4.44346,86.9833,2
429.5,0.000773959,0.0145184,0.00638414,0.570903,-0.57898,-0.382439,0.438854,93.3386,4.61905,86.8116,2
430,0.000846571,0.0145053,0.00618611,0.571698,-0.581068,-0.379355,0.437734,93.4192,4.79229,86.6462,2
430.5,0.000918807,0.0144916,0.00597719,0.572515,-0.583117,-0.376287,0.436588,93.5011,4.96252,86.4874,2
431,0.000990596,0.0144773,0.00575789,0.573356,-0.585125,-0.373239,0.435414,93.584,5.12911,86.3356,2
431.5,0.00106187,0.0144624,0.00552875,0.57422,-0.587091,-0.370211,0.43421,93.6677,5.2915,86.1911,2
432,0.00113256,0.014447,0.00529034,0.57511,-0.589016,-0.367205,0.432976,93.7521,5.44921,86.054,2
432.5,0.00120259,0.0144312,0.00504326,0.576026,-0.590898,-0.364224,0.43171,93.8368,5.60179,85.9246,2
433,0.00127191,0.0144149,0.00478809,0.57697,-0.592737,-0.361268,0.430411,93.9218,5.74882,85.8032,2
433.5,0.00134045,0.0143983,0.00452549,0.577941,-0.594533,-0.35834,0.429078,94.0067,5.88994,85.6899,2
434,0.00140815,0.0143814,0.00425609,0.57894,-0.596285,-0.35544,0.427708,94.0914,6.02484,85.585,2
434.5,0.00147494,0.0143642,0.00398056,0.579969,-0.597993,-0.352571,0.426303,94.1756,6.15321,85.4885,2
435,0.00154078,0.0143469,0.00369958,0.581027,-0.599657,-0.349734,0.424859,94.2592,6.27481,85.4007,2
435.5,0.0016056,0.0143294,0.00341382,0.582115,-0.601276,-0.346929,0.423378,94.342,6.38941,85.3216,2
