phase,node,time,normalized_time,T_i,qw,qx,qy,qz,wx,wy,wz,taux,tauy,tauz
1,48,48.0,0.1605351170568562,299.0,0.7071067810431406,8.444764043962251e-19,1.0958195567635797e-18,0.707106781329955,7.827137199526751e-19,-2.469473570584971e-20,-6.1980174642077535e-09,6.430929713438932e-21,-2.9751328822694266e-21,2.810464380121486e-09
1,49,49.0,0.16387959866220736,299.0,0.7071067832344707,1.1299383980868928e-18,1.3638197413679454e-18,0.707106779138625,8.148683689809012e-19,-2.841365180849306e-20,7.854304436409665e-09,-1.5490673018807714e-22,-2.6180491332883368e-21,-3.2415021815565047e-09
1,50,50.0,0.16722408026755853,299.0,0.7071067804575547,1.4280836218243696e-18,1.6418734679532032e-18,0.707106781915541,8.140938347030198e-19,-3.1686213225284076e-20,-8.353206471377787e-09,-6.4532289766078694e-21,-6.272685946267946e-21,-1.1388665099286674e-09
1,51,51.0,0.1705685618729097,299.0,0.7071067834108593,1.7271120183520556e-18,1.9184963415959144e-18,0.7071067789622366,7.8182769054979415e-19,-3.9527070658026476e-20,-1.4047539021024499e-08,-1.2540191871125789e-20,-5.713039183000005e-21,-9.068971183468003e-10
1,52,52.0,0.17391304347826086,299.0,0.7071067883774144,2.0175047664220024e-18,2.180939253816081e-18,0.7071067739956816,7.191267328679191e-19,-4.66683696369185e-20,-1.8582024612767164e-08,-1.8710089211005763e-20,-1.3282167855785526e-20,6.127857240338628e-09
1,53,53.0,0.17725752508361203,299.0,0.7071067949471521,2.2882542035912733e-18,2.4186892041628873e-18,0.7071067674259437,6.255762894251689e-19,-6.327107945655879e-20,1.2057261588930018e-08,-2.3748768777981323e-20,-9.328156645725383e-21,8.95481278388271e-09
1,54,54.0,0.1806020066889632,299.0,0.7071067906842665,2.5317985449798275e-18,2.6174940990994498e-18,0.7071067716888295,5.06832443236589e-19,-7.493127526400171e-20,5.683132550835316e-08,-2.65985531831477e-20,-2.0465804294003087e-20,-1.3756491890699973e-09
1,55,55.0,0.18394648829431437,299.0,0.7071067705913587,2.7374831566797617e-18,2.770194146676309e-18,0.7071067917817374,3.7383966454611694e-19,-1.0051353063125714e-19,4.995307956299454e-08,-2.8832989981228796e-20,-1.1034219245155482e-20,-4.679337899298561e-09
1,56,56.0,0.18729096989966554,299.0,0.7071067529302777,2.9051924049626376e-18,2.8668294621279033e-18,0.7071068094428176,2.2967469956446997e-19,-1.1430630468821407e-19,2.655639006649347e-08,-3.2651435163223136e-20,-2.1137760460400956e-20,-3.2474126306990574e-09
1,57,57.0,0.19063545150501673,299.0,0.7071067435411755,3.026808091857244e-18,2.9076183154205648e-18,0.7071068188319188,6.641751462099754e-20,-1.4072850526324387e-19,1.0319326912996848e-08,-3.733231884119395e-20,-5.607771896877943e-21,-1.6650687895821854e-09
1,58,58.0,0.1939799331103679,299.0,0.7071067398927423,3.100045285949697e-18,2.8813454009100442e-18,0.7071068224803517,-1.2024408439814778e-19,-1.4773822013484269e-19,1.9939829650918204e-09,-4.04983778272014e-20,-7.425110846191426e-21,-5.664129615954369e-10
1,59,59.0,0.19732441471571907,299.0,0.7071067391877629,3.1097659393562457e-18,2.7865993458722906e-18,0.7071068231853312,-3.227359744437813e-19,-1.5701960869215956e-19,-8.38081842872766e-10,-4.175061856612088e-20,1.470585293200072e-20,-6.69669563101109e-09
1,60,60.0,0.20066889632107024,299.0,0.7071067394840695,3.051176365420754e-18,2.6169801306274197e-18,0.7071068228890245,-5.314890666895676e-19,-1.3863729252725987e-19,-3.432155999792876e-08,-4.241003338778385e-20,3.021885789558254e-20,-5.242105703182754e-09
1,61,61.0,0.2040133779264214,299.0,0.7071067516185741,2.912282257826895e-18,2.380054728432002e-18,0.7071068107545213,-7.435392193478443e-19,-1.0086372015744714e-19,-6.053208851384665e-08,-4.2120587091951444e-20,6.055087910104919e-20,4.455373153284273e-09
1,62,62.0,0.20735785953177258,299.0,0.7071067730198997,2.6850620965268486e-18,2.081513284866669e-18,0.7071067893531967,-9.541421365340316e-19,-2.5175121280724934e-20,-3.82552227474221e-08,-3.8252655801475764e-20,9.484349826395439e-20,3.036467314888341e-09
